opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-11 09:15:00,2023-08-11 12:50:00,buy,1918.37,1914.6221383800992,1923.991792429851,SL,-1.0,-10.01,989.99
2023-08-15 18:35:00,2023-08-15 18:50:00,buy,1903.83,1902.672239876119,1905.5666401858214,SL,-1.0,-9.91,980.08
2023-08-16 17:25:00,2023-08-16 18:55:00,sell,1896.3,1898.2537673915137,1893.3693489127293,TP,1.5,14.69,994.77
2023-08-17 23:10:00,2023-08-18 00:50:00,sell,1875.48,1885.2652531809988,1860.8021202285017,SL,-1.0,-9.96,984.81
2023-10-04 19:35:00,2023-10-04 20:10:00,buy,1831.93,1830.6472427894685,1833.8541358157975,TP,1.5,14.76,999.57
2023-10-08 11:30:00,2023-10-08 11:55:00,buy,1855.37,1852.9714084097154,1858.9678873854266,TP,1.5,14.98,1014.55
2023-10-10 08:40:00,2023-10-10 08:50:00,sell,1863.74,1865.1625262024875,1861.6062106962688,TP,1.5,15.21,1029.76
2023-10-17 07:50:00,2023-10-17 08:35:00,buy,1908.0,1905.0145752812027,1912.478137078196,SL,-1.0,-10.31,1019.45
2023-10-20 10:45:00,2023-10-20 11:00:00,buy,1966.13,1963.8764502866381,1969.510324570043,SL,-1.0,-10.2,1009.25
2023-10-23 08:45:00,2023-10-23 10:50:00,buy,1961.21,1958.1715021390598,1965.7677467914104,SL,-1.0,-10.1,999.15
2023-10-23 23:15:00,2023-10-23 23:35:00,sell,1956.97,1961.5130884884195,1950.1553672673708,TP,1.5,14.98,1014.13
2023-10-25 14:45:00,2023-10-25 15:00:00,buy,1960.24,1957.6470730465162,1964.1293904302256,SL,-1.0,-10.15,1003.98
2023-10-25 15:30:00,2023-10-25 15:40:00,buy,1957.85,1954.4209889427955,1962.9935165858064,SL,-1.0,-10.05,993.93
2023-11-02 16:00:00,2023-11-02 17:00:00,sell,1956.21,1958.9882216750148,1952.042667487478,SL,-1.0,-9.95,983.98
2023-11-03 01:25:00,2023-11-03 03:05:00,sell,1956.9,1958.2844407294178,1954.8233389058735,SL,-1.0,-9.85,974.13
2023-11-03 04:55:00,2023-11-03 05:05:00,buy,1959.63,1958.619708277377,1961.1454375839348,SL,-1.0,-9.75,964.38
2023-11-05 21:50:00,2023-11-05 22:00:00,sell,1957.31,1959.3151176451338,1954.3023235322992,SL,-1.0,-9.65,954.73
2023-11-06 12:10:00,2023-11-06 12:15:00,buy,1962.0,1960.0060879174773,1964.990868123784,SL,-1.0,-9.56,945.17
2023-11-14 15:55:00,2023-11-14 18:25:00,buy,1942.9,1939.1871378799638,1948.4692931800546,SL,-1.0,-9.46,935.71
2023-11-14 20:40:00,2023-11-14 21:35:00,buy,1942.71,1940.0806828939662,1946.6539756590507,TP,1.5,14.03,949.74
2023-11-15 19:00:00,2023-11-15 19:20:00,sell,1946.07,1949.4027132136741,1941.0709301794886,TP,1.5,14.24,963.98
2023-11-16 06:20:00,2023-11-16 06:50:00,buy,1939.74,1938.2722603428938,1941.9416094856592,SL,-1.0,-9.65,954.33
2023-11-21 07:00:00,2023-11-21 07:45:00,buy,1980.31,1953.512689944819,2020.5059650827716,TP,1.5,14.31,968.64
2023-11-28 19:00:00,2023-11-28 19:20:00,buy,2020.36,2017.1128483915872,2025.2307274126188,TP,1.5,14.52,983.16
2023-11-28 22:50:00,2023-11-28 23:10:00,buy,2016.62,2014.737238853604,2019.444141719594,TP,1.5,14.74,997.9
