opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-08 21:35:00,2023-08-08 21:50:00,buy,29911.7,29876.73,29964.155000000002,SL,-1.0,-10.01,989.99
2023-08-11 12:50:00,2023-08-11 13:05:00,buy,29415.2,29398.120000000003,29440.82,TP,1.5,14.84,1004.83
2023-08-17 01:10:00,2023-08-17 01:15:00,sell,28598.4,28615.0,28573.500000000004,TP,1.5,15.06,1019.89
2023-08-18 00:10:00,2023-08-18 00:30:00,sell,26784.5,26844.2,26694.949999999997,TP,1.5,15.29,1035.18
2023-08-20 21:10:00,2023-08-20 21:20:00,buy,26163.1,26144.24,26191.389999999992,TP,1.5,15.52,1050.7
2023-08-20 23:00:00,2023-08-21 04:00:00,buy,26177.7,26060.43,26353.605000000003,SL,-1.0,-10.52,1040.18
2023-08-22 14:25:00,2023-08-22 14:35:00,sell,26007.2,26023.370000000003,25982.945,SL,-1.0,-10.41,1029.77
2023-08-23 07:25:00,2023-08-23 07:30:00,buy,26104.9,26090.49,26126.515,SL,-1.0,-10.31,1019.46
2023-08-28 09:05:00,2023-08-28 09:15:00,sell,25948.5,25962.56,25927.409999999996,TP,1.5,15.28,1034.74
2023-08-31 21:30:00,2023-08-31 21:40:00,sell,25929.7,25953.22,25894.42,SL,-1.0,-10.36,1024.38
2023-09-01 15:35:00,2023-09-01 15:45:00,sell,25895.5,25937.68,25832.23,TP,1.5,15.36,1039.74
2023-09-03 14:50:00,2023-09-03 15:25:00,sell,25915.1,25929.41,25893.634999999995,TP,1.5,15.59,1055.33
2023-09-05 09:40:00,2023-09-05 09:45:00,sell,25754.1,25770.739999999998,25729.14,SL,-1.0,-10.56,1044.77
2023-09-10 05:05:00,2023-09-10 05:20:00,sell,25818.8,25834.56,25795.159999999996,SL,-1.0,-10.46,1034.31
2023-09-10 22:50:00,2023-09-10 22:55:00,buy,25869.1,25853.84,25891.989999999998,SL,-1.0,-10.35,1023.96
2023-09-13 12:35:00,2023-09-13 14:30:00,buy,26134.8,26069.85,26232.225,TP,1.5,15.35,1039.31
2023-09-20 18:55:00,2023-09-20 19:05:00,buy,27162.8,27136.67,27201.995000000003,SL,-1.0,-10.4,1028.91
2023-09-20 21:30:00,2023-09-20 21:50:00,sell,27175.4,27221.56,27106.160000000003,TP,1.5,15.42,1044.33
2023-09-21 00:25:00,2023-09-21 00:35:00,buy,27094.2,27073.54,27125.190000000002,TP,1.5,15.65,1059.98
