opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-03 21:10:00,2023-08-03 21:40:00,buy,1845.24,1843.9299999999998,1847.2050000000004,SL,-1.0,-10.01,989.99
2023-08-08 21:55:00,2023-08-08 22:05:00,buy,1861.93,1860.8029999999999,1863.6205000000004,SL,-1.0,-9.91,980.08
2023-08-14 02:00:00,2023-08-14 02:05:00,sell,1840.96,1842.391,1838.8135,TP,1.5,14.69,994.77
2023-08-17 23:00:00,2023-08-17 23:05:00,sell,1698.04,1701.768,1692.4479999999999,SL,-1.0,-9.96,984.81
2023-08-18 17:30:00,2023-08-18 17:35:00,sell,1656.89,1662.03,1649.1800000000003,SL,-1.0,-9.86,974.95
2023-08-18 18:40:00,2023-08-18 18:45:00,sell,1667.23,1668.7160000000001,1665.0009999999997,SL,-1.0,-9.76,965.19
2023-08-27 20:50:00,2023-08-27 21:15:00,buy,1654.37,1653.366,1655.8759999999997,TP,1.5,14.47,979.66
2023-08-28 16:05:00,2023-08-28 17:05:00,buy,1650.26,1647.556,1654.3159999999998,TP,1.5,14.69,994.35
2023-08-29 22:30:00,2023-08-29 22:35:00,buy,1728.5,1727.579,1729.8815,TP,1.5,14.91,1009.26
2023-08-30 12:00:00,2023-08-30 12:15:00,buy,1716.61,1715.1909999999998,1718.7385,TP,1.5,15.13,1024.39
2023-08-31 21:50:00,2023-08-31 23:25:00,sell,1648.09,1650.4199999999998,1644.595,TP,1.5,15.36,1039.75
2023-09-01 15:20:00,2023-09-01 16:00:00,sell,1637.8,1642.402,1630.897,TP,1.5,15.59,1055.34
2023-09-01 22:00:00,2023-09-01 22:10:00,sell,1628.77,1630.094,1626.7839999999999,TP,1.5,15.82,1071.16
2023-09-11 18:10:00,2023-09-11 18:35:00,sell,1561.07,1562.258,1559.2879999999998,SL,-1.0,-10.72,1060.44
2023-09-11 21:40:00,2023-09-11 22:05:00,sell,1542.96,1545.289,1539.4665,SL,-1.0,-10.62,1049.82
