opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-15 18:35:00,2023-08-15 18:50:00,buy,1903.83,1902.147,1906.3545,SL,-1.0,-10.01,989.99
2023-08-17 23:10:00,2023-08-17 23:25:00,sell,1875.48,1878.346,1871.181,SL,-1.0,-9.91,980.08
2023-09-20 18:05:00,2023-09-20 18:15:00,buy,1934.14,1931.797,1937.6545,SL,-1.0,-9.81,970.27
2023-10-17 07:50:00,2023-10-17 08:15:00,buy,1908.0,1906.636,1910.046,SL,-1.0,-9.71,960.56
2023-10-20 10:45:00,2023-10-20 11:00:00,buy,1966.13,1963.875,1969.5125000000003,SL,-1.0,-9.62,950.94
2023-10-23 08:45:00,2023-10-23 09:00:00,buy,1961.21,1958.295,1965.5825,TP,1.5,14.25,965.19
2023-10-23 23:15:00,2023-10-23 23:25:00,sell,1956.97,1958.9479999999999,1954.0030000000002,TP,1.5,14.47,979.66
2023-10-25 14:45:00,2023-10-25 15:00:00,buy,1960.24,1957.996,1963.6059999999998,SL,-1.0,-9.81,969.85
2023-10-25 15:30:00,2023-10-25 15:35:00,buy,1957.85,1956.621,1959.6934999999996,SL,-1.0,-9.71,960.14
2023-11-02 16:00:00,2023-11-02 16:20:00,sell,1956.21,1957.838,1953.768,SL,-1.0,-9.61,950.53
2023-11-03 04:55:00,2023-11-03 05:40:00,buy,1959.63,1958.42,1961.4450000000002,SL,-1.0,-9.51,941.02
2023-11-05 21:50:00,2023-11-05 23:00:00,sell,1957.31,1960.294,1952.8339999999998,SL,-1.0,-9.42,931.6
2023-11-14 15:55:00,2023-11-14 16:00:00,buy,1942.9,1941.076,1945.6360000000002,SL,-1.0,-9.33,922.27
2023-11-15 19:00:00,2023-11-15 19:10:00,sell,1946.07,1948.388,1942.5929999999998,TP,1.5,13.82,936.09
2023-11-16 06:20:00,2023-11-16 14:15:00,buy,1939.74,1934.652,1947.3719999999998,TP,1.5,14.03,950.12
2023-11-28 19:00:00,2023-11-28 20:45:00,buy,2020.36,2013.338,2030.8929999999998,SL,-1.0,-9.51,940.61
2023-12-04 03:20:00,2023-12-04 04:00:00,buy,2063.13,2061.252,2065.947,TP,1.5,14.1,954.71
2023-12-04 06:35:00,2023-12-04 06:50:00,buy,2063.47,2062.066,2065.576,SL,-1.0,-9.56,945.15
2023-12-04 12:20:00,2023-12-04 12:25:00,sell,2046.36,2049.068,2042.2979999999993,SL,-1.0,-9.46,935.69
2023-12-04 19:20:00,2023-12-04 19:25:00,sell,2022.91,2025.038,2019.7180000000003,TP,1.5,14.03,949.72
2023-12-06 02:10:00,2023-12-06 02:30:00,sell,2007.85,2011.92,2001.7449999999997,TP,1.5,14.24,963.96
2023-12-08 07:00:00,2023-12-08 14:00:00,buy,2018.95,2010.214,2032.054,SL,-1.0,-9.65,954.31
2023-12-11 07:20:00,2023-12-11 12:00:00,sell,1974.0,1976.713,1969.9305,SL,-1.0,-9.55,944.76
2023-12-14 07:05:00,2023-12-14 07:10:00,buy,2011.64,2009.3770000000002,2015.0345,SL,-1.0,-9.46,935.3
2023-12-14 21:55:00,2023-12-15 16:45:00,buy,2011.48,2004.352,2022.172,SL,-1.0,-9.36,925.94
2023-12-18 13:40:00,2023-12-18 20:00:00,buy,2007.44,2002.028,2015.558,TP,1.5,13.88,939.82
2023-12-19 17:00:00,2023-12-19 17:05:00,buy,2021.12,2019.9199999999998,2022.92,SL,-1.0,-9.41,930.41
2023-12-20 14:25:00,2023-12-20 14:30:00,sell,2018.13,2022.854,2011.0440000000003,SL,-1.0,-9.31,921.1
2023-12-21 20:55:00,2023-12-21 22:50:00,buy,2021.98,2020.011,2024.9335,SL,-1.0,-9.22,911.88
2023-12-29 23:15:00,2023-12-30 00:00:00,sell,2032.27,2033.352,2030.647,TP,1.5,13.67,925.55
2023-12-31 08:15:00,2023-12-31 14:10:00,buy,2026.38,2016.06,2041.8600000000004,SL,-1.0,-9.26,916.29
2024-01-01 23:20:00,2024-01-02 01:05:00,buy,2031.36,2026.392,2038.8119999999997,TP,1.5,13.74,930.03
2024-01-03 12:55:00,2024-01-03 13:00:00,sell,2023.82,2025.0910000000001,2021.9134999999997,TP,1.5,13.94,943.97
2024-01-09 21:55:00,2024-01-09 22:05:00,sell,2008.76,2010.641,2005.9384999999997,SL,-1.0,-9.45,934.52
2024-01-14 23:10:00,2024-01-14 23:35:00,buy,2022.63,2020.04,2026.5150000000003,SL,-1.0,-9.35,925.17
2024-01-17 21:35:00,2024-01-17 21:40:00,sell,2004.2,2005.787,2001.8195,TP,1.5,13.87,939.04
2024-01-18 00:20:00,2024-01-18 00:25:00,sell,2002.2,2003.92,1999.62,TP,1.5,14.08,953.12
2024-01-24 10:25:00,2024-01-24 11:20:00,buy,2008.19,2000.026,2020.4360000000001,TP,1.5,14.29,967.41
2024-01-24 11:55:00,2024-01-24 13:00:00,buy,2016.29,2013.9360000000001,2019.8209999999997,SL,-1.0,-9.68,957.73
2024-01-29 20:45:00,2024-01-29 21:00:00,buy,2012.94,2010.1019999999999,2017.1970000000003,SL,-1.0,-9.59,948.14
2024-02-04 21:00:00,2024-02-04 21:10:00,sell,2018.46,2020.22,2015.8200000000002,SL,-1.0,-9.49,938.65
2024-02-17 18:00:00,2024-02-17 18:10:00,buy,1988.5,1986.638,1991.2930000000001,SL,-1.0,-9.4,929.25
2024-02-26 20:15:00,2024-02-26 20:45:00,sell,2004.2,2007.134,1999.799,TP,1.5,13.93,943.18
2024-02-28 08:00:00,2024-02-28 08:05:00,buy,2015.24,2010.0839999999998,2022.9740000000002,SL,-1.0,-9.44,933.74
2024-03-11 19:00:00,2024-03-11 19:10:00,buy,2158.73,2157.298,2160.8780000000006,SL,-1.0,-9.35,924.39
2024-03-14 07:30:00,2024-03-14 08:50:00,buy,2153.03,2150.819,2156.3465000000006,TP,1.5,13.86,938.25
2024-03-14 15:20:00,2024-03-14 15:25:00,sell,2148.02,2149.313,2146.0805,TP,1.5,14.06,952.31
2024-03-15 03:15:00,2024-03-15 18:10:00,sell,2141.8,2151.963,2126.5555000000004,SL,-1.0,-9.53,942.78
2024-03-22 06:25:00,2024-03-22 06:30:00,buy,2167.27,2165.656,2169.691,SL,-1.0,-9.44,933.34
2024-03-23 13:30:00,2024-03-23 13:40:00,buy,2151.77,2150.4280000000003,2153.7829999999994,SL,-1.0,-9.34,924.0
2024-03-28 19:05:00,2024-03-28 20:40:00,buy,2195.09,2193.317,2197.7495000000004,TP,1.5,13.85,937.85
2024-03-29 18:45:00,2024-03-29 19:25:00,sell,2209.39,2211.9120000000003,2205.606999999999,SL,-1.0,-9.39,928.46
2024-03-30 23:15:00,2024-03-31 05:20:00,sell,2205.01,2209.541,2198.2135000000003,SL,-1.0,-9.29,919.17
2024-04-04 11:10:00,2024-04-04 16:00:00,buy,2291.07,2287.018,2297.148,SL,-1.0,-9.2,909.97
2024-04-04 16:25:00,2024-04-04 16:30:00,sell,2288.28,2290.05,2285.625,TP,1.5,13.64,923.61
2024-04-05 06:45:00,2024-04-05 06:55:00,sell,2259.63,2262.155,2255.8424999999997,SL,-1.0,-9.25,914.36
2024-04-06 22:50:00,2024-04-06 23:15:00,buy,2310.64,2307.8869999999997,2314.7695000000003,SL,-1.0,-9.15,905.21
2024-04-09 15:05:00,2024-04-09 15:10:00,sell,2330.01,2331.2439999999997,2328.159000000001,TP,1.5,13.57,918.78
2024-04-12 19:10:00,2024-04-12 19:20:00,sell,2357.24,2365.8289999999997,2344.3565,TP,1.5,13.77,932.55
2024-04-13 21:15:00,2024-04-13 21:30:00,buy,2517.97,2462.813,2600.705499999999,TP,1.5,13.98,946.53
2024-04-14 07:35:00,2024-04-14 07:40:00,sell,2408.14,2413.53,2400.0549999999994,TP,1.5,14.19,960.72
2024-04-14 20:35:00,2024-04-14 20:45:00,sell,2422.02,2431.2789999999995,2408.1315000000004,SL,-1.0,-9.62,951.1
2024-04-14 22:10:00,2024-04-14 22:30:00,buy,2416.12,2402.791,2436.1134999999995,SL,-1.0,-9.52,941.58
2024-04-15 16:20:00,2024-04-15 16:25:00,sell,2354.98,2356.519,2352.6715000000004,TP,1.5,14.11,955.69
2024-04-17 23:00:00,2024-04-17 23:05:00,sell,2400.14,2402.062,2397.2569999999996,SL,-1.0,-9.57,946.12
2024-04-19 06:45:00,2024-04-19 08:30:00,sell,2414.9,2427.3379999999997,2396.2430000000004,TP,1.5,14.18,960.3
2024-04-23 12:20:00,2024-04-23 12:40:00,sell,2296.31,2299.852,2290.9970000000003,SL,-1.0,-9.61,950.69
2024-04-27 11:40:00,2024-04-27 15:20:00,sell,2339.26,2346.0789999999997,2329.031500000001,SL,-1.0,-9.52,941.17
2024-05-01 19:50:00,2024-05-01 20:10:00,buy,2297.76,2293.169,2304.6465000000007,TP,1.5,14.11,955.28
2024-05-10 17:10:00,2024-05-10 17:40:00,sell,2340.36,2343.6820000000002,2335.377,SL,-1.0,-9.56,945.72
2024-05-13 13:30:00,2024-05-13 13:35:00,sell,2332.85,2334.3129999999996,2330.6555000000003,TP,1.5,14.18,959.9
2024-05-15 10:55:00,2024-05-15 11:05:00,buy,2351.2,2349.181,2354.2284999999993,SL,-1.0,-9.61,950.29
2024-05-18 04:50:00,2024-05-18 06:15:00,buy,2386.35,2382.9519999999998,2391.447,SL,-1.0,-9.51,940.78
2024-05-20 11:10:00,2024-05-20 11:15:00,buy,2411.85,2409.17,2415.87,SL,-1.0,-9.42,931.36
2024-05-20 20:00:00,2024-05-20 20:05:00,buy,2410.45,2407.985,2414.147499999999,SL,-1.0,-9.32,922.04
2024-05-21 15:45:00,2024-05-21 15:50:00,buy,2413.26,2409.368,2419.098000000001,SL,-1.0,-9.23,912.81
2024-06-04 15:50:00,2024-06-04 16:30:00,sell,2339.98,2344.163,2333.7055,TP,1.5,13.68,926.49
2024-06-14 16:40:00,2024-06-14 16:45:00,sell,2312.48,2314.361,2309.6585000000005,SL,-1.0,-9.27,917.22
2024-06-29 17:10:00,2024-06-29 17:25:00,buy,2309.14,2307.0910000000003,2312.213499999999,TP,1.5,13.75,930.97
2024-07-01 05:20:00,2024-07-01 05:30:00,sell,2314.23,2315.6,2312.175,TP,1.5,13.96,944.93
2024-07-05 21:55:00,2024-07-05 22:00:00,buy,2353.83,2350.438,2358.9179999999997,SL,-1.0,-9.46,935.47
2024-07-11 00:45:00,2024-07-11 11:55:00,buy,2350.0,2339.0,2366.5,TP,1.5,14.02,949.49
2024-07-16 06:50:00,2024-07-16 07:00:00,buy,2409.94,2407.4759999999997,2413.6360000000004,TP,1.5,14.23,963.72
2024-08-01 16:55:00,2024-08-01 17:10:00,buy,2434.29,2429.487,2441.4945,SL,-1.0,-9.65,954.07
2024-08-01 19:10:00,2024-08-01 19:20:00,sell,2427.86,2432.4489999999996,2420.9765000000007,SL,-1.0,-9.55,944.52
2024-08-04 09:20:00,2024-08-04 09:25:00,buy,2471.21,2469.9519999999998,2473.0970000000007,TP,1.5,14.16,958.68
2024-08-04 17:35:00,2024-08-04 17:40:00,buy,2474.45,2467.7039999999997,2484.569,SL,-1.0,-9.6,949.08
2024-08-05 14:55:00,2024-08-05 15:00:00,sell,2379.19,2382.0190000000002,2374.9465,SL,-1.0,-9.5,939.58
2024-08-06 01:35:00,2024-08-06 03:05:00,buy,2401.27,2396.128,2408.9829999999997,SL,-1.0,-9.41,930.17
2024-08-06 13:25:00,2024-08-06 13:55:00,sell,2395.3,2398.924,2389.8640000000005,SL,-1.0,-9.31,920.86
2024-08-06 15:20:00,2024-08-06 15:30:00,buy,2400.83,2394.367,2410.5244999999995,SL,-1.0,-9.22,911.64
2024-08-06 21:40:00,2024-08-06 21:50:00,sell,2395.53,2397.686,2392.2960000000003,SL,-1.0,-9.13,902.51
2024-08-07 15:05:00,2024-08-07 18:10:00,sell,2387.35,2392.5699999999997,2379.5200000000004,TP,1.5,13.53,916.04
2024-08-08 13:05:00,2024-08-08 13:10:00,buy,2395.25,2390.543,2402.3104999999996,SL,-1.0,-9.17,906.87
2024-08-08 16:15:00,2024-08-08 16:50:00,buy,2416.04,2412.575,2421.2375,SL,-1.0,-9.08,897.79
2024-08-09 05:05:00,2024-08-10 00:15:00,buy,2411.9,2401.67,2427.245,SL,-1.0,-8.99,888.8
2024-08-11 11:00:00,2024-08-11 11:10:00,buy,2424.36,2423.089,2426.2665000000006,TP,1.5,13.32,902.12
2024-08-15 12:55:00,2024-08-15 13:00:00,buy,2448.78,2444.1850000000004,2455.6724999999997,SL,-1.0,-9.03,893.09
2024-08-16 02:25:00,2024-08-16 03:20:00,buy,2450.42,2446.806,2455.8410000000003,SL,-1.0,-8.94,884.15
2024-08-16 18:25:00,2024-08-16 18:30:00,buy,2493.58,2491.324,2496.964,SL,-1.0,-8.85,875.3
2024-08-16 21:20:00,2024-08-17 09:45:00,buy,2492.0,2479.3469999999998,2510.9795000000004,TP,1.5,13.12,888.42
2024-08-17 11:50:00,2024-08-17 14:35:00,buy,2514.22,2508.896,2522.205999999999,SL,-1.0,-8.89,879.53
2024-08-22 18:20:00,2024-08-22 18:25:00,sell,2485.38,2486.7160000000003,2483.3759999999997,TP,1.5,13.18,892.71
2024-08-23 21:55:00,2024-08-23 22:25:00,buy,2506.78,2502.803,2512.745500000001,SL,-1.0,-8.94,883.77
2024-08-24 20:05:00,2024-08-24 20:30:00,buy,2507.63,2505.49,2510.8400000000006,SL,-1.0,-8.85,874.92
2024-08-25 06:15:00,2024-08-25 06:20:00,buy,2513.03,2511.464,2515.379000000001,TP,1.5,13.12,888.04
2024-08-25 15:30:00,2024-08-25 15:35:00,sell,2515.09,2516.476,2513.0110000000004,TP,1.5,13.31,901.35
2024-08-26 02:05:00,2024-08-26 02:20:00,sell,2511.81,2514.035,2508.4725,TP,1.5,13.51,914.86
2024-08-26 21:35:00,2024-08-27 00:55:00,sell,2504.68,2508.093,2499.5604999999996,TP,1.5,13.71,928.57
2024-08-27 04:10:00,2024-08-27 04:35:00,sell,2501.06,2503.585,2497.2725,TP,1.5,13.92,942.49
2024-08-27 09:30:00,2024-08-27 09:35:00,sell,2498.62,2501.807,2493.8395,TP,1.5,14.13,956.62
2024-08-28 20:55:00,2024-08-28 21:00:00,buy,2494.4,2493.093,2496.3605000000007,TP,1.5,14.34,970.96
2024-09-01 09:00:00,2024-09-01 09:20:00,sell,2495.43,2497.605,2492.1674999999996,TP,1.5,14.55,985.51
2024-09-03 12:15:00,2024-09-03 13:35:00,sell,2493.77,2496.149,2490.2015,TP,1.5,14.77,1000.28
2024-09-12 22:35:00,2024-09-12 22:40:00,buy,2554.21,2552.5989999999997,2556.6265000000003,TP,1.5,14.99,1015.27
2024-09-14 17:15:00,2024-09-14 17:20:00,buy,2574.82,2573.513,2576.7805000000008,SL,-1.0,-10.16,1005.11
2024-09-15 14:20:00,2024-09-15 15:40:00,buy,2579.06,2576.3650000000002,2583.1024999999995,SL,-1.0,-10.06,995.05
2024-09-15 22:25:00,2024-09-15 22:30:00,buy,2579.17,2576.686,2582.8959999999997,TP,1.5,14.92,1009.97
2024-09-16 15:50:00,2024-09-16 16:10:00,buy,2586.06,2583.398,2590.053,SL,-1.0,-10.11,999.86
2024-09-17 10:50:00,2024-09-17 11:35:00,buy,2593.97,2590.514,2599.1539999999995,SL,-1.0,-10.01,989.85
2024-09-17 12:30:00,2024-09-17 12:35:00,buy,2592.2,2590.391,2594.9134999999997,SL,-1.0,-9.91,979.94
2024-09-18 13:45:00,2024-09-18 13:50:00,buy,2586.44,2584.279,2589.6815,SL,-1.0,-9.81,970.13
2024-09-21 01:00:00,2024-09-21 01:05:00,buy,2627.71,2624.4770000000003,2632.5594999999994,TP,1.5,14.54,984.67
2024-09-23 22:30:00,2024-09-23 22:40:00,buy,2629.73,2628.1710000000003,2632.0684999999994,SL,-1.0,-9.86,974.81
2024-09-24 11:40:00,2024-09-24 12:55:00,buy,2631.93,2628.4970000000003,2637.079499999999,TP,1.5,14.61,989.42
2024-09-27 14:20:00,2024-09-27 14:45:00,buy,2663.12,2658.4990000000003,2670.0514999999996,SL,-1.0,-9.9,979.52
2024-09-28 13:45:00,2024-09-28 14:05:00,sell,2654.41,2656.455,2651.3424999999997,SL,-1.0,-9.8,969.72
2024-09-29 14:45:00,2024-09-29 15:50:00,buy,2662.02,2659.9550000000004,2665.1174999999994,SL,-1.0,-9.71,960.01
2024-10-01 04:55:00,2024-10-01 08:40:00,buy,2643.64,2638.9970000000003,2650.6044999999995,TP,1.5,14.39,974.4
2024-10-01 13:10:00,2024-10-01 13:30:00,buy,2648.86,2645.3540000000003,2654.1189999999997,TP,1.5,14.61,989.01
2024-10-01 17:45:00,2024-10-01 17:50:00,buy,2673.12,2670.268,2677.3979999999997,SL,-1.0,-9.9,979.11
2024-10-01 20:05:00,2024-10-01 20:55:00,buy,2671.06,2667.596,2676.256,TP,1.5,14.68,993.79
2024-10-02 07:05:00,2024-10-02 07:10:00,sell,2670.26,2673.2340000000004,2665.799,SL,-1.0,-9.95,983.84
2024-10-02 08:25:00,2024-10-02 08:35:00,sell,2667.55,2673.0589999999997,2659.286500000001,SL,-1.0,-9.85,973.99
2024-10-02 11:40:00,2024-10-02 11:45:00,sell,2661.03,2662.6459999999997,2658.6060000000007,TP,1.5,14.6,988.59
2024-10-02 17:40:00,2024-10-02 17:45:00,sell,2668.54,2670.775,2665.1875,SL,-1.0,-9.9,978.69
2024-10-02 23:20:00,2024-10-02 23:55:00,buy,2675.84,2673.563,2679.2555,SL,-1.0,-9.8,968.89
2024-10-03 01:25:00,2024-10-03 01:30:00,buy,2673.61,2671.96,2676.085,SL,-1.0,-9.7,959.19
2024-10-03 14:55:00,2024-10-03 15:00:00,sell,2668.36,2672.231,2662.5535,TP,1.5,14.38,973.57
2024-10-03 17:35:00,2024-10-03 17:55:00,buy,2668.73,2665.8030000000003,2673.1204999999995,SL,-1.0,-9.75,963.82
2024-10-03 19:30:00,2024-10-03 19:35:00,buy,2665.99,2663.55,2669.649999999999,TP,1.5,14.45,978.27
2024-10-05 11:10:00,2024-10-05 11:15:00,sell,2670.02,2671.607,2667.6395,SL,-1.0,-9.79,968.48
2024-10-05 16:40:00,2024-10-05 17:15:00,buy,2678.47,2674.455,2684.4924999999994,TP,1.5,14.52,983.0
2024-10-06 03:25:00,2024-10-06 03:30:00,buy,2684.6,2682.822,2687.267,TP,1.5,14.74,997.74
2024-10-06 17:00:00,2024-10-06 19:30:00,buy,2690.77,2682.993,2702.4355,SL,-1.0,-9.99,987.75
