opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-07-31 04:35:00,2023-07-31 04:40:00,buy,24.423,24.4031,24.452849999999998,TP,1.5,14.99,1014.99
2023-07-31 20:35:00,2023-07-31 20:40:00,sell,23.88,23.8965,23.855249999999998,TP,1.5,15.21,1030.2
2023-08-03 13:15:00,2023-08-03 13:20:00,sell,22.804,22.825200000000002,22.77219999999999,TP,1.5,15.44,1045.64
2023-08-03 17:05:00,2023-08-03 17:10:00,sell,23.007,23.0527,22.938450000000003,SL,-1.0,-10.47,1035.17
2023-08-03 18:15:00,2023-08-03 18:20:00,buy,22.793,22.767599999999998,22.8311,TP,1.5,15.52,1050.69
2023-08-03 21:50:00,2023-08-03 21:55:00,buy,22.853,22.8194,22.9034,SL,-1.0,-10.52,1040.17
2023-08-04 15:35:00,2023-08-04 15:40:00,buy,23.333,23.299799999999998,23.3828,TP,1.5,15.59,1055.76
2023-08-04 20:15:00,2023-08-04 20:20:00,sell,22.986,23.0104,22.9494,SL,-1.0,-10.57,1045.19
2023-08-05 02:15:00,2023-08-05 02:20:00,sell,22.683,22.6958,22.663800000000002,TP,1.5,15.67,1060.86
2023-08-05 17:10:00,2023-08-05 17:15:00,sell,22.498,22.550500000000003,22.419249999999998,SL,-1.0,-10.62,1050.24
2023-08-06 12:25:00,2023-08-06 12:35:00,buy,23.146,23.1211,23.183350000000004,SL,-1.0,-10.51,1039.73
2023-08-07 13:00:00,2023-08-07 13:10:00,sell,23.071,23.119799999999998,22.997800000000005,TP,1.5,15.59,1055.32
2023-08-08 13:35:00,2023-08-08 13:40:00,buy,23.332,23.2535,23.44975,SL,-1.0,-10.56,1044.76
2023-08-09 02:15:00,2023-08-09 02:20:00,buy,24.363,24.3354,24.4044,SL,-1.0,-10.46,1034.3
2023-08-10 08:40:00,2023-08-10 08:45:00,sell,24.33,24.3515,24.297749999999994,SL,-1.0,-10.35,1023.95
2023-08-11 21:10:00,2023-08-11 21:30:00,sell,24.471,24.489099999999997,24.443850000000005,TP,1.5,15.35,1039.3
2023-08-11 23:10:00,2023-08-11 23:35:00,buy,24.571,24.5495,24.603250000000006,SL,-1.0,-10.4,1028.9
2023-08-13 04:05:00,2023-08-13 04:15:00,buy,24.84,24.8213,24.868049999999997,SL,-1.0,-10.3,1018.6
2023-08-13 14:30:00,2023-08-13 14:50:00,sell,24.65,24.6708,24.618799999999997,TP,1.5,15.27,1033.87
2023-08-14 10:30:00,2023-08-14 10:40:00,buy,24.477,24.4637,24.496950000000002,TP,1.5,15.5,1049.37
2023-08-14 14:15:00,2023-08-14 14:20:00,sell,24.511,24.5363,24.473049999999997,SL,-1.0,-10.5,1038.87
2023-08-14 18:05:00,2023-08-14 21:35:00,buy,24.672,24.5069,24.919649999999997,TP,1.5,15.57,1054.44
2023-08-15 08:50:00,2023-08-15 09:05:00,sell,24.851,24.8912,24.790699999999994,SL,-1.0,-10.55,1043.89
2023-08-15 11:05:00,2023-08-15 11:15:00,buy,24.95,24.9362,24.9707,SL,-1.0,-10.45,1033.44
2023-08-17 06:35:00,2023-08-17 06:40:00,buy,23.247,23.230900000000002,23.27115,SL,-1.0,-10.34,1023.1
2023-08-18 12:10:00,2023-08-18 12:15:00,sell,21.938,21.9647,21.897949999999994,SL,-1.0,-10.24,1012.86
2023-08-20 14:10:00,2023-08-20 14:15:00,buy,21.908,21.889,21.936500000000002,SL,-1.0,-10.14,1002.72
2023-08-20 17:40:00,2023-08-20 17:45:00,sell,21.821,21.8365,21.79775,SL,-1.0,-10.04,992.68
2023-08-20 23:40:00,2023-08-20 23:45:00,sell,21.792,21.8086,21.767100000000006,TP,1.5,14.88,1007.56
2023-08-23 08:55:00,2023-08-23 09:05:00,buy,20.774,20.7498,20.8103,SL,-1.0,-10.09,997.47
2023-08-24 12:05:00,2023-08-24 12:50:00,buy,21.669,21.6038,21.766800000000003,SL,-1.0,-9.98,987.49
2023-08-25 05:50:00,2023-08-25 05:55:00,sell,20.696,20.7244,20.653400000000005,SL,-1.0,-9.88,977.61
2023-08-25 10:20:00,2023-08-25 10:25:00,sell,20.696,20.7103,20.674550000000004,TP,1.5,14.65,992.26
2023-08-28 06:10:00,2023-08-28 06:20:00,sell,20.411,20.4409,20.366150000000005,TP,1.5,14.87,1007.13
2023-08-28 10:00:00,2023-08-28 10:05:00,sell,20.245,20.2685,20.209750000000003,SL,-1.0,-10.08,997.05
2023-08-28 14:10:00,2023-08-28 14:15:00,buy,20.521,20.5045,20.54575,TP,1.5,14.95,1012.0
2023-08-28 15:05:00,2023-08-28 15:10:00,buy,20.539,20.5244,20.560900000000004,SL,-1.0,-10.13,1001.87
2023-08-29 19:55:00,2023-08-29 20:00:00,buy,21.586,21.5397,21.655449999999995,TP,1.5,15.02,1016.89
2023-08-30 03:10:00,2023-08-30 03:15:00,buy,21.54,21.5246,21.5631,SL,-1.0,-10.18,1006.71
2023-08-30 08:15:00,2023-08-30 08:20:00,buy,21.569,21.5536,21.5921,TP,1.5,15.09,1021.8
2023-08-30 13:15:00,2023-08-30 13:20:00,sell,21.467,21.4937,21.426949999999998,SL,-1.0,-10.23,1011.57
2023-08-30 17:45:00,2023-08-30 17:50:00,sell,20.801,20.8321,20.754349999999995,TP,1.5,15.16,1026.73
2023-08-31 20:30:00,2023-08-31 20:35:00,sell,19.825,19.842599999999997,19.7986,TP,1.5,15.39,1042.12
2023-09-02 13:40:00,2023-09-02 13:50:00,sell,19.507,19.534799999999997,19.465300000000006,TP,1.5,15.62,1057.74
2023-09-02 14:55:00,2023-09-02 15:00:00,sell,19.474,19.493199999999998,19.445200000000003,SL,-1.0,-10.59,1047.15
2023-09-03 22:00:00,2023-09-03 22:10:00,buy,19.452,19.4234,19.4949,TP,1.5,15.7,1062.85
2023-09-04 15:35:00,2023-09-04 21:55:00,sell,19.457,19.592499999999998,19.253750000000004,TP,1.5,15.93,1078.78
2023-09-05 07:10:00,2023-09-05 07:15:00,sell,19.282,19.3066,19.2451,SL,-1.0,-10.8,1067.98
2023-09-05 20:00:00,2023-09-05 20:05:00,buy,20.245,20.2227,20.278450000000003,SL,-1.0,-10.69,1057.29
2023-09-06 08:25:00,2023-09-06 08:30:00,sell,19.816,19.826500000000003,19.80024999999999,SL,-1.0,-10.58,1046.71
2023-09-06 12:35:00,2023-09-06 12:50:00,sell,19.804,19.831500000000002,19.762749999999993,TP,1.5,15.69,1062.4
2023-09-06 16:50:00,2023-09-06 17:00:00,sell,19.389,19.4215,19.340249999999997,TP,1.5,15.93,1078.33
2023-09-06 19:40:00,2023-09-06 19:50:00,sell,19.497,19.5292,19.448700000000002,TP,1.5,16.16,1094.49
2023-09-06 23:15:00,2023-09-07 00:25:00,sell,19.626,19.653499999999998,19.584750000000007,TP,1.5,16.41,1110.9
2023-09-07 13:15:00,2023-09-07 13:30:00,sell,19.436,19.4668,19.3898,TP,1.5,16.65,1127.55
2023-09-07 23:25:00,2023-09-07 23:30:00,buy,19.825,19.8066,19.8526,SL,-1.0,-11.29,1116.26
2023-09-08 12:35:00,2023-09-08 12:40:00,sell,19.6,19.6265,19.560250000000003,SL,-1.0,-11.17,1105.09
2023-09-10 03:00:00,2023-09-10 03:10:00,sell,19.301,19.3134,19.282399999999996,TP,1.5,16.57,1121.66
2023-09-10 10:40:00,2023-09-10 10:55:00,sell,18.39,18.4478,18.3033,TP,1.5,16.81,1138.47
2023-09-10 15:35:00,2023-09-10 15:40:00,sell,18.204,18.2286,18.1671,SL,-1.0,-11.4,1127.07
2023-09-11 01:50:00,2023-09-11 02:00:00,sell,18.222,18.256999999999998,18.169500000000006,TP,1.5,16.89,1143.96
2023-09-11 22:40:00,2023-09-11 22:45:00,sell,17.621,17.633399999999998,17.6024,TP,1.5,17.15,1161.11
2023-09-12 03:05:00,2023-09-12 03:10:00,sell,17.793,17.8265,17.74275,SL,-1.0,-11.62,1149.49
2023-09-12 14:50:00,2023-09-12 15:00:00,buy,17.987,17.954900000000002,18.035149999999994,TP,1.5,17.23,1166.72
2023-09-12 22:45:00,2023-09-12 22:50:00,sell,17.982,18.000400000000003,17.954399999999993,SL,-1.0,-11.68,1155.04
2023-09-13 10:05:00,2023-09-13 10:10:00,buy,18.185,18.158700000000003,18.22444999999999,SL,-1.0,-11.56,1143.48
2023-09-13 14:15:00,2023-09-13 14:25:00,buy,18.052,18.014499999999998,18.10825,TP,1.5,17.14,1160.62
2023-09-14 15:30:00,2023-09-14 15:45:00,buy,18.923,18.8888,18.974299999999996,TP,1.5,17.4,1178.02
2023-09-14 23:30:00,2023-09-14 23:35:00,buy,18.881,18.859699999999997,18.912950000000006,SL,-1.0,-11.79,1166.23
2023-09-15 01:30:00,2023-09-15 01:40:00,sell,18.858,18.8906,18.8091,SL,-1.0,-11.67,1154.56
2023-09-16 05:35:00,2023-09-16 05:40:00,buy,19.248,19.231800000000003,19.272299999999998,SL,-1.0,-11.56,1143.0
2023-09-16 16:55:00,2023-09-16 17:00:00,sell,19.017,19.0308,18.996299999999998,TP,1.5,17.13,1160.13
2023-09-16 22:30:00,2023-09-16 23:05:00,buy,19.075,19.054599999999997,19.105600000000003,TP,1.5,17.39,1177.52
2023-09-17 04:50:00,2023-09-17 04:55:00,sell,19.001,19.0354,18.949400000000004,SL,-1.0,-11.79,1165.73
2023-09-18 02:00:00,2023-09-18 02:05:00,sell,18.71,18.727200000000003,18.684199999999997,SL,-1.0,-11.67,1154.06
2023-09-18 16:10:00,2023-09-18 16:15:00,buy,19.917,19.839299999999998,20.033550000000005,SL,-1.0,-11.55,1142.51
2023-09-20 20:45:00,2023-09-20 21:15:00,sell,20.306,20.3541,20.233850000000004,SL,-1.0,-11.44,1131.07
2023-09-22 11:55:00,2023-09-22 12:00:00,sell,19.689,19.7,19.6725,SL,-1.0,-11.32,1119.75
2023-09-23 23:35:00,2023-09-23 23:50:00,sell,19.451,19.473,19.418000000000003,SL,-1.0,-11.21,1108.54
2023-09-27 18:45:00,2023-09-27 19:05:00,sell,18.928,18.947499999999998,18.898750000000007,SL,-1.0,-11.1,1097.44
2023-09-28 02:45:00,2023-09-28 03:00:00,buy,19.28,19.2565,19.315250000000006,SL,-1.0,-10.99,1086.45
2023-09-30 00:05:00,2023-09-30 00:10:00,buy,20.256,20.2443,20.27355,TP,1.5,16.29,1102.74
2023-09-30 06:10:00,2023-09-30 06:30:00,sell,20.199,20.212600000000002,20.178600000000003,SL,-1.0,-11.04,1091.7
2023-10-02 08:05:00,2023-10-02 08:10:00,buy,24.295,24.2118,24.419800000000002,TP,1.5,16.36,1108.06
2023-10-02 09:55:00,2023-10-02 10:00:00,buy,24.09,24.0724,24.116400000000002,TP,1.5,16.61,1124.67
2023-10-03 15:45:00,2023-10-03 15:50:00,buy,23.942,23.9206,23.9741,SL,-1.0,-11.26,1113.41
2023-10-03 21:30:00,2023-10-03 21:35:00,sell,23.68,23.7221,23.61685,TP,1.5,16.69,1130.1
2023-10-05 05:50:00,2023-10-05 05:55:00,buy,23.273,23.260099999999998,23.292350000000003,SL,-1.0,-11.31,1118.79
2023-10-10 09:40:00,2023-10-10 09:50:00,buy,22.284,22.269299999999998,22.30605,TP,1.5,16.77,1135.56
2023-10-11 08:05:00,2023-10-11 08:10:00,sell,22.05,22.0651,22.02735,SL,-1.0,-11.37,1124.19
2023-10-11 18:40:00,2023-10-11 18:50:00,sell,21.861,21.886,21.823500000000003,SL,-1.0,-11.25,1112.94
2023-10-12 17:45:00,2023-10-12 17:50:00,sell,21.243,21.2658,21.208799999999997,SL,-1.0,-11.14,1101.8
2023-10-13 08:35:00,2023-10-13 08:40:00,buy,21.403,21.3908,21.4213,SL,-1.0,-11.03,1090.77
2023-10-14 08:40:00,2023-10-14 08:45:00,buy,22.088,22.065800000000003,22.121299999999998,TP,1.5,16.35,1107.12
2023-10-16 00:10:00,2023-10-16 00:20:00,sell,21.977,22.008599999999998,21.929600000000004,SL,-1.0,-11.08,1096.04
2023-10-16 14:00:00,2023-10-16 14:05:00,buy,23.271,23.1428,23.4633,SL,-1.0,-10.97,1085.07
2023-10-17 02:40:00,2023-10-17 02:55:00,buy,24.04,24.0108,24.083799999999997,TP,1.5,16.27,1101.34
2023-10-18 15:15:00,2023-10-18 15:30:00,sell,23.775,23.8028,23.733299999999993,TP,1.5,16.51,1117.85
2023-10-19 02:10:00,2023-10-19 02:15:00,sell,23.373,23.394799999999996,23.340300000000006,TP,1.5,16.76,1134.61
2023-10-20 00:50:00,2023-10-20 00:55:00,buy,24.897,24.846799999999998,24.972299999999997,SL,-1.0,-11.36,1123.25
2023-10-20 11:10:00,2023-10-20 11:15:00,buy,26.967,26.924599999999998,27.0306,TP,1.5,16.84,1140.09
2023-10-20 21:15:00,2023-10-20 21:20:00,buy,26.824,26.774900000000002,26.89765,SL,-1.0,-11.41,1128.68
2023-10-22 00:40:00,2023-10-22 00:45:00,buy,29.373,29.3478,29.410800000000002,SL,-1.0,-11.3,1117.38
2023-10-22 12:10:00,2023-10-22 12:15:00,sell,28.508,28.541500000000003,28.457749999999994,SL,-1.0,-11.18,1106.2
2023-10-23 05:45:00,2023-10-23 05:50:00,buy,30.909,30.8649,30.97515,SL,-1.0,-11.07,1095.13
