opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-04 03:30:00,2023-08-04 03:50:00,sell,29165.8,29182.5080120695,29140.73798189575,TP,1.5,14.99,1014.99
2023-08-08 21:35:00,2023-08-08 21:50:00,buy,29911.7,29848.85562914617,30005.96655628075,SL,-1.0,-10.16,1004.83
2023-08-11 12:50:00,2023-08-11 13:05:00,buy,29415.2,29398.120000000003,29440.82,TP,1.5,15.06,1019.89
2023-08-11 15:00:00,2023-08-11 15:05:00,buy,29484.1,29454.2668077854,29528.849788321895,SL,-1.0,-10.21,1009.68
2023-08-16 17:30:00,2023-08-16 18:20:00,sell,29154.1,29189.164146985615,29101.503779521576,SL,-1.0,-10.11,999.57
2023-08-17 01:10:00,2023-08-17 03:35:00,sell,28598.4,28664.087037121895,28499.869444317163,SL,-1.0,-10.01,989.56
2023-08-18 00:10:00,2023-08-18 02:40:00,sell,26784.5,26949.71362211927,26536.679566821094,TP,1.5,14.83,1004.39
2023-08-20 21:10:00,2023-08-20 21:25:00,buy,26163.1,26133.387661149656,26207.668508275514,TP,1.5,15.06,1019.45
2023-08-20 23:00:00,2023-08-21 04:00:00,buy,26177.7,26060.43,26353.605000000003,SL,-1.0,-10.2,1009.25
2023-08-21 23:00:00,2023-08-22 00:20:00,buy,26133.0,26113.650562570714,26162.02415614393,SL,-1.0,-10.1,999.15
2023-08-22 14:25:00,2023-08-22 14:40:00,sell,26007.2,26037.350730538757,25961.973904191866,TP,1.5,14.98,1014.13
2023-08-23 07:25:00,2023-08-23 07:30:00,buy,26104.9,26072.2195594437,26153.920660834454,SL,-1.0,-10.15,1003.98
2023-08-24 21:40:00,2023-08-24 22:20:00,sell,26079.9,26107.72958080497,26038.15562879255,SL,-1.0,-10.05,993.93
2023-08-28 09:05:00,2023-08-28 09:15:00,sell,25948.5,25966.181115313684,25921.978327029472,TP,1.5,14.9,1008.83
2023-08-29 09:45:00,2023-08-29 10:15:00,sell,25985.4,25999.512459883503,25964.23131017475,TP,1.5,15.12,1023.95
2023-08-29 12:35:00,2023-08-29 12:40:00,sell,26007.1,26023.886016338824,25981.92097549176,SL,-1.0,-10.25,1013.7
2023-08-30 20:20:00,2023-08-30 20:35:00,sell,27255.9,27285.312476265375,27211.78128560194,SL,-1.0,-10.15,1003.55
2023-08-31 21:30:00,2023-08-31 21:50:00,sell,25929.7,26013.951725840943,25803.322411238587,SL,-1.0,-10.05,993.5
2023-09-01 15:35:00,2023-09-01 16:00:00,sell,25895.5,25962.43694195516,25795.094587067262,TP,1.5,14.89,1008.39
2023-09-03 14:50:00,2023-09-03 15:35:00,sell,25915.1,25937.468820946015,25881.546768580974,TP,1.5,15.12,1023.51
2023-09-04 11:50:00,2023-09-04 12:10:00,sell,25904.7,25925.04604941184,25874.18092588224,TP,1.5,15.34,1038.85
2023-09-05 09:40:00,2023-09-05 09:45:00,sell,25754.1,25775.496048711717,25722.00592693242,SL,-1.0,-10.4,1028.45
2023-09-06 00:35:00,2023-09-06 01:10:00,buy,25790.6,25775.323019013504,25813.51547147974,TP,1.5,15.42,1043.87
2023-09-07 00:25:00,2023-09-07 00:50:00,buy,25748.0,25733.043225448393,25770.43516182741,SL,-1.0,-10.45,1033.42
2023-09-07 23:15:00,2023-09-07 23:30:00,buy,26226.8,26166.188647664985,26317.71702850252,SL,-1.0,-10.34,1023.08
2023-09-08 08:25:00,2023-09-08 08:35:00,buy,26215.0,26195.02173264164,26244.967401037542,SL,-1.0,-10.24,1012.84
2023-09-10 05:05:00,2023-09-10 05:20:00,sell,25818.8,25837.2250391925,25791.162441211247,SL,-1.0,-10.14,1002.7
2023-09-10 22:50:00,2023-09-10 23:15:00,buy,25869.1,25830.159077276003,25927.511384085992,SL,-1.0,-10.04,992.66
2023-09-12 02:55:00,2023-09-12 03:00:00,sell,25206.8,25224.19213276949,25180.711800845762,SL,-1.0,-9.94,982.72
2023-09-12 07:25:00,2023-09-12 07:40:00,buy,25749.6,25704.51410358703,25817.22884461945,TP,1.5,14.73,997.45
2023-09-13 12:35:00,2023-09-13 14:30:00,buy,26134.8,26069.85,26232.225,TP,1.5,14.95,1012.4
2023-09-14 15:35:00,2023-09-14 16:00:00,buy,26615.2,26560.223959668285,26697.664060497576,TP,1.5,15.18,1027.58
2023-09-14 20:30:00,2023-09-14 20:45:00,buy,26621.1,26587.798603842162,26671.05209423675,SL,-1.0,-10.29,1017.29
2023-09-16 11:55:00,2023-09-16 12:35:00,sell,26521.8,26539.29623832211,26495.555642516832,SL,-1.0,-10.18,1007.11
2023-09-18 08:30:00,2023-09-18 08:55:00,buy,26690.2,26666.32539574839,26726.01190637742,TP,1.5,15.1,1022.21
2023-09-20 18:55:00,2023-09-20 19:10:00,buy,27162.8,27101.68195307299,27254.47707039051,SL,-1.0,-10.23,1011.98
2023-09-20 21:30:00,2023-09-20 21:50:00,sell,27175.4,27226.83663898514,27098.245041522292,TP,1.5,15.17,1027.15
2023-09-21 00:25:00,2023-09-21 00:40:00,buy,27094.2,27068.493198765762,27132.760201851357,TP,1.5,15.4,1042.55
2023-09-25 06:50:00,2023-09-25 07:00:00,sell,26159.6,26184.733234432246,26121.900148351626,TP,1.5,15.63,1058.18
2023-09-25 21:10:00,2023-09-25 21:50:00,buy,26294.6,26266.830811239735,26336.253783140393,SL,-1.0,-10.59,1047.59
2023-09-26 11:35:00,2023-09-26 12:05:00,sell,26252.7,26290.04,26196.690000000002,SL,-1.0,-10.49,1037.1
2023-09-27 13:35:00,2023-09-27 13:45:00,buy,26722.9,26679.736693202092,26787.644960196863,SL,-1.0,-10.38,1026.72
2023-09-28 02:25:00,2023-09-28 02:50:00,buy,26400.4,26367.099875227428,26450.35018715886,SL,-1.0,-10.28,1016.44
2023-09-28 11:15:00,2023-09-28 11:45:00,buy,26496.8,26462.32,26548.519999999997,SL,-1.0,-10.17,1006.27
2023-09-29 08:50:00,2023-09-29 08:55:00,buy,27071.7,27041.94722698798,27116.32915951803,SL,-1.0,-10.07,996.2
2023-09-30 16:00:00,2023-09-30 16:35:00,buy,26997.5,26974.447674420906,27032.078488368643,TP,1.5,14.93,1011.13
2023-10-02 00:45:00,2023-10-02 01:10:00,buy,27957.1,27896.0951466458,28048.607280031298,SL,-1.0,-10.12,1001.01
2023-10-02 18:00:00,2023-10-02 18:35:00,sell,28055.2,28110.41579752397,27972.37630371405,TP,1.5,15.01,1016.02
2023-10-03 05:10:00,2023-10-03 05:20:00,sell,27593.1,27615.26065922587,27559.859011161192,SL,-1.0,-10.17,1005.85
2023-10-05 14:45:00,2023-10-05 15:00:00,buy,27963.5,27898.127689814522,28061.558465278216,SL,-1.0,-10.07,995.78
2023-10-05 18:55:00,2023-10-05 20:30:00,sell,27494.7,27537.724579106613,27430.163131340083,TP,1.5,14.93,1010.71
2023-10-06 13:40:00,2023-10-06 14:20:00,sell,27501.9,27586.45811231547,27375.062831526797,SL,-1.0,-10.12,1000.59
2023-10-06 22:00:00,2023-10-06 22:10:00,buy,28029.6,27970.49428127174,28118.258578092384,TP,1.5,15.0,1015.59
2023-10-09 20:05:00,2023-10-09 20:50:00,sell,27619.5,27657.18493332484,27562.97260001274,TP,1.5,15.22,1030.81
2023-10-09 22:25:00,2023-10-09 22:45:00,sell,27616.9,27637.429804761672,27586.105292857494,TP,1.5,15.45,1046.26
2023-10-11 00:40:00,2023-10-11 00:55:00,sell,27430.3,27444.75970863889,27408.610437041665,SL,-1.0,-10.47,1035.79
2023-10-13 01:40:00,2023-10-13 01:55:00,buy,26817.3,26799.301101110308,26844.298348334538,SL,-1.0,-10.37,1025.42
2023-10-13 16:25:00,2023-10-13 16:30:00,sell,26775.0,26800.30329852464,26737.04505221304,SL,-1.0,-10.26,1015.16
2023-10-13 18:05:00,2023-10-13 18:35:00,sell,26767.0,26789.426547252293,26733.360179121562,TP,1.5,15.22,1030.38
2023-10-13 20:40:00,2023-10-13 20:50:00,sell,26771.4,26786.111820465765,26749.332269301354,SL,-1.0,-10.31,1020.07
2023-10-16 08:20:00,2023-10-16 08:50:00,buy,27850.4,27813.829047828633,27905.256428257053,SL,-1.0,-10.21,1009.86
2023-10-16 15:55:00,2023-10-16 17:15:00,buy,28062.3,27948.707301991562,28232.689047012653,TP,1.5,15.14,1025.0
2023-10-16 20:45:00,2023-10-16 20:55:00,buy,28457.2,28385.186893149512,28565.219660275732,SL,-1.0,-10.26,1014.74
2023-10-17 09:20:00,2023-10-17 09:50:00,buy,28382.9,28344.31731654399,28440.774025184015,TP,1.5,15.21,1029.95
2023-10-18 06:50:00,2023-10-18 07:00:00,buy,28680.3,28631.726300560695,28753.160549158958,SL,-1.0,-10.31,1019.64
2023-10-18 12:30:00,2023-10-18 12:45:00,sell,28371.4,28408.17,28316.245000000006,TP,1.5,15.28,1034.92
2023-10-19 11:20:00,2023-10-19 12:00:00,buy,28425.8,28396.02464767559,28470.463028486614,TP,1.5,15.51,1050.43
2023-10-19 16:40:00,2023-10-19 17:35:00,buy,28646.4,28569.448631562154,28761.827052656772,SL,-1.0,-10.51,1039.92
2023-10-21 09:00:00,2023-10-21 09:40:00,buy,29651.4,29625.04,29690.940000000002,TP,1.5,15.59,1055.51
2023-10-22 06:20:00,2023-10-22 07:00:00,buy,30107.9,30049.29,30195.815000000002,SL,-1.0,-10.57,1044.94
2023-10-24 11:45:00,2023-10-24 12:05:00,buy,34485.6,34363.29837116361,34669.05244325458,TP,1.5,15.66,1060.6
2023-10-24 13:05:00,2023-10-24 13:10:00,buy,34522.0,34404.09237961675,34698.86143057488,SL,-1.0,-10.62,1049.98
2023-10-24 18:00:00,2023-10-24 18:05:00,buy,33773.0,33626.87257581622,33992.19113627567,SL,-1.0,-10.51,1039.47
2023-10-24 19:45:00,2023-10-24 20:20:00,sell,33807.8,33913.66079552197,33649.00880671704,SL,-1.0,-10.41,1029.06
2023-10-25 05:25:00,2023-10-25 05:45:00,buy,34009.4,33948.073028442595,34101.39045733611,SL,-1.0,-10.3,1018.76
2023-10-26 19:55:00,2023-10-26 20:10:00,sell,34040.3,34119.12,33922.07000000001,SL,-1.0,-10.2,1008.56
2023-10-27 02:35:00,2023-10-27 04:20:00,sell,34123.0,34184.92716183937,34030.10925724095,TP,1.5,15.12,1023.68
2023-10-27 05:45:00,2023-10-27 06:40:00,sell,34114.1,34160.72636455821,34044.16045316268,SL,-1.0,-10.25,1013.43
2023-10-27 10:35:00,2023-10-27 10:55:00,buy,34111.7,34075.98220373531,34165.276694397035,SL,-1.0,-10.14,1003.29
2023-10-27 12:50:00,2023-10-27 14:00:00,sell,34156.6,34217.717624385805,34064.92356342129,TP,1.5,15.04,1018.33
2023-10-27 21:50:00,2023-10-27 22:35:00,sell,33829.9,33867.29894945276,33773.801575820864,SL,-1.0,-10.19,1008.14
2023-10-28 19:30:00,2023-10-28 19:55:00,buy,34139.1,34113.79527680806,34177.05708478791,SL,-1.0,-10.09,998.05
2023-10-29 00:50:00,2023-10-29 01:00:00,sell,34098.7,34117.02171423642,34071.21742864537,TP,1.5,14.96,1013.01
2023-10-29 03:05:00,2023-10-29 03:50:00,sell,34010.8,34034.439033576076,33975.34144963589,TP,1.5,15.19,1028.2
2023-10-29 04:35:00,2023-10-29 04:45:00,sell,34009.1,34031.689999999995,33975.215000000004,SL,-1.0,-10.29,1017.91
2023-10-29 13:50:00,2023-10-29 14:30:00,buy,34367.7,34321.67583543347,34436.73624684979,TP,1.5,15.26,1033.17
2023-10-31 12:30:00,2023-10-31 12:45:00,buy,34388.8,34336.16,34467.76,SL,-1.0,-10.34,1022.83
2023-10-31 15:00:00,2023-10-31 15:10:00,sell,34303.3,34369.58,34203.880000000005,TP,1.5,15.33,1038.16
2023-11-01 07:00:00,2023-11-01 07:05:00,sell,34402.0,34424.51503850671,34368.227442239935,SL,-1.0,-10.39,1027.77
2023-11-01 10:25:00,2023-11-01 10:30:00,buy,34440.8,34419.966882254885,34472.04967661768,SL,-1.0,-10.29,1017.48
2023-11-01 23:00:00,2023-11-01 23:20:00,buy,35272.8,35164.449206159086,35435.32619076138,TP,1.5,15.25,1032.73
