opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-07-31 02:55:00,2023-07-31 03:45:00,buy,1870.47,1868.9198274617138,1872.7952588074295,SL,-1.0,-10.01,989.99
2023-07-31 18:50:00,2023-07-31 19:05:00,sell,1861.72,1863.0713162344985,1859.6930256482524,TP,1.5,14.84,1004.83
2023-08-02 06:35:00,2023-08-02 06:45:00,buy,1861.18,1860.146504320264,1862.730243519604,SL,-1.0,-10.06,994.77
2023-08-03 01:40:00,2023-08-03 01:45:00,sell,1842.31,1843.8524643735557,1839.9963034396665,SL,-1.0,-9.96,984.81
2023-08-03 21:10:00,2023-08-03 21:45:00,buy,1845.24,1843.2931193956892,1848.160320906466,SL,-1.0,-9.86,974.95
2023-08-04 02:45:00,2023-08-04 04:25:00,sell,1834.95,1836.8443564006452,1832.1084653990324,TP,1.5,14.61,989.56
2023-08-04 10:50:00,2023-08-04 11:50:00,buy,1834.42,1833.4854268391546,1835.8218597412683,SL,-1.0,-9.91,979.65
2023-08-06 15:20:00,2023-08-06 15:50:00,sell,1830.11,1831.089235657974,1828.6411465130386,TP,1.5,14.68,994.33
2023-08-07 03:25:00,2023-08-07 03:40:00,buy,1842.2,1840.6271028458136,1844.5593457312798,SL,-1.0,-9.95,984.38
2023-08-08 13:45:00,2023-08-08 14:40:00,buy,1836.24,1833.483272680148,1840.375090979778,TP,1.5,14.76,999.14
2023-08-08 21:55:00,2023-08-08 22:05:00,buy,1861.93,1859.0358475495918,1866.2712286756123,SL,-1.0,-10.0,989.14
2023-08-09 13:25:00,2023-08-09 13:35:00,buy,1864.59,1862.3393196502468,1867.9660205246296,SL,-1.0,-9.9,979.24
2023-08-09 20:25:00,2023-08-09 21:10:00,sell,1852.36,1853.7954656746397,1850.2068014880401,TP,1.5,14.68,993.92
2023-08-14 02:00:00,2023-08-14 02:05:00,sell,1840.96,1842.405616431775,1838.7915753523378,TP,1.5,14.9,1008.82
2023-08-16 21:40:00,2023-08-16 21:55:00,sell,1808.7,1811.5681270425196,1804.3978094362208,SL,-1.0,-10.1,998.72
2023-08-17 03:25:00,2023-08-17 03:35:00,sell,1798.76,1800.3002562395382,1796.4496156406926,SL,-1.0,-10.0,988.72
2023-08-17 23:00:00,2023-08-18 04:25:00,sell,1698.04,1719.166723561024,1666.349914658464,TP,1.5,14.82,1003.54
2023-08-18 17:30:00,2023-08-18 17:35:00,sell,1656.89,1662.9954839122063,1647.7317741316908,SL,-1.0,-10.05,993.49
2023-08-18 18:40:00,2023-08-18 18:45:00,sell,1667.23,1672.2206093853977,1659.7440859219037,SL,-1.0,-9.94,983.55
2023-08-20 12:20:00,2023-08-20 12:35:00,buy,1672.93,1671.794667482022,1674.632998776967,TP,1.5,14.74,998.29
2023-08-21 22:35:00,2023-08-21 22:50:00,buy,1669.76,1668.3656197424718,1671.8515703862922,SL,-1.0,-9.99,988.3
2023-08-22 05:55:00,2023-08-22 06:15:00,sell,1663.69,1664.7155285456963,1662.1517071814555,SL,-1.0,-9.89,978.41
2023-08-23 09:00:00,2023-08-23 10:25:00,buy,1644.68,1642.7407261957815,1647.588910706328,SL,-1.0,-9.79,968.62
2023-08-23 21:05:00,2023-08-23 21:40:00,buy,1683.66,1680.0954166818906,1689.0068749771644,SL,-1.0,-9.7,958.92
2023-08-24 22:00:00,2023-08-24 23:40:00,sell,1654.18,1656.0418256131982,1651.387261580203,SL,-1.0,-9.6,949.32
2023-08-27 20:50:00,2023-08-27 21:15:00,buy,1654.37,1653.2430792073692,1656.060381188946,TP,1.5,14.23,963.55
2023-08-28 16:05:00,2023-08-28 17:05:00,buy,1650.26,1647.397422310957,1654.5538665335646,TP,1.5,14.44,977.99
2023-08-29 01:55:00,2023-08-29 02:10:00,buy,1655.39,1653.3940981639419,1658.3838527540875,SL,-1.0,-9.79,968.2
2023-08-29 22:30:00,2023-08-29 23:15:00,buy,1728.5,1725.9278946283266,1732.35815805751,SL,-1.0,-9.69,958.51
2023-08-30 12:00:00,2023-08-30 12:15:00,buy,1716.61,1715.1909999999998,1718.7385,TP,1.5,14.37,972.88
2023-08-31 08:40:00,2023-08-31 09:05:00,buy,1705.8,1704.6926208435898,1707.4610687346153,SL,-1.0,-9.74,963.14
2023-08-31 19:45:00,2023-08-31 20:00:00,sell,1658.18,1661.8708559759968,1652.643716036005,TP,1.5,14.44,977.58
2023-08-31 21:50:00,2023-09-01 00:20:00,sell,1648.09,1652.2600120436653,1641.834981934502,SL,-1.0,-9.79,967.79
2023-09-01 15:20:00,2023-09-01 16:00:00,sell,1637.8,1642.402,1630.897,TP,1.5,14.51,982.3
2023-09-01 22:00:00,2023-09-02 00:20:00,sell,1628.77,1631.7299286885072,1624.330106967239,SL,-1.0,-9.83,972.47
2023-09-02 15:50:00,2023-09-02 16:30:00,buy,1638.65,1636.7500711421073,1641.4998932868393,SL,-1.0,-9.73,962.74
2023-09-03 15:05:00,2023-09-03 15:25:00,buy,1635.57,1634.180849180546,1637.6537262291808,SL,-1.0,-9.64,953.1
2023-09-08 02:35:00,2023-09-08 04:05:00,buy,1645.53,1644.0099872126902,1647.8100191809644,TP,1.5,14.29,967.39
2023-09-08 08:15:00,2023-09-08 09:05:00,buy,1644.44,1643.1510722084174,1646.373391687374,SL,-1.0,-9.68,957.71
2023-09-08 19:15:00,2023-09-08 19:20:00,sell,1629.95,1631.5742950029394,1627.5135574955912,SL,-1.0,-9.59,948.12
2023-09-10 18:25:00,2023-09-10 19:35:00,sell,1613.3,1615.9508468280621,1609.3237297579067,TP,1.5,14.21,962.33
2023-09-11 18:10:00,2023-09-11 18:50:00,sell,1561.07,1563.9259426525432,1556.786086021185,TP,1.5,14.43,976.76
