opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-11 09:15:00,2023-08-11 12:50:00,buy,1918.37,1915.8714255867328,1922.1178616199004,SL,-1.0,-10.01,989.99
2023-08-15 18:35:00,2023-08-15 18:50:00,buy,1903.83,1902.147,1906.3545,SL,-1.0,-9.91,980.08
2023-08-16 17:25:00,2023-08-16 17:40:00,sell,1896.3,1897.6025115943426,1894.346232608486,SL,-1.0,-9.81,970.27
2023-08-17 23:10:00,2023-08-17 23:25:00,sell,1875.48,1882.0035021206659,1865.6947468190012,SL,-1.0,-9.71,960.56
2023-09-20 18:05:00,2023-09-20 18:15:00,buy,1934.14,1931.797,1937.6545,SL,-1.0,-9.62,950.94
2023-10-08 11:30:00,2023-10-08 11:45:00,buy,1855.37,1853.7709389398103,1857.7685915902844,TP,1.5,14.25,965.19
2023-10-10 08:40:00,2023-10-10 08:45:00,sell,1863.74,1864.6883508016583,1862.3174737975125,TP,1.5,14.47,979.66
2023-10-17 07:50:00,2023-10-17 08:15:00,buy,1908.0,1906.0097168541351,1910.9854247187973,SL,-1.0,-9.81,969.85
2023-10-20 10:45:00,2023-10-20 11:00:00,buy,1966.13,1963.875,1969.5125000000003,SL,-1.0,-9.71,960.14
2023-10-23 08:45:00,2023-10-23 09:00:00,buy,1961.21,1958.295,1965.5825,TP,1.5,14.39,974.53
2023-10-23 23:15:00,2023-10-23 23:25:00,sell,1956.97,1959.9987256589463,1952.4269115115806,TP,1.5,14.61,989.14
2023-10-25 14:45:00,2023-10-25 15:00:00,buy,1960.24,1957.996,1963.6059999999998,SL,-1.0,-9.9,979.24
2023-10-25 15:30:00,2023-10-25 15:35:00,buy,1957.85,1955.5639926285303,1961.2790110572043,TP,1.5,14.68,993.92
2023-11-02 16:00:00,2023-11-02 17:00:00,sell,1956.21,1958.0621477833433,1953.431778324985,SL,-1.0,-9.95,983.97
2023-11-03 04:55:00,2023-11-03 05:40:00,buy,1959.63,1958.42,1961.4450000000002,SL,-1.0,-9.85,974.12
2023-11-05 21:50:00,2023-11-05 23:00:00,sell,1957.31,1960.294,1952.8339999999998,SL,-1.0,-9.75,964.37
2023-11-06 12:10:00,2023-11-06 12:15:00,buy,1962.0,1960.670725278318,1963.993912082523,SL,-1.0,-9.65,954.72
2023-11-14 15:55:00,2023-11-14 16:00:00,buy,1942.9,1940.4247585866424,1946.6128621200367,SL,-1.0,-9.56,945.16
2023-11-14 20:40:00,2023-11-14 21:35:00,buy,1942.71,1940.957121929311,1945.3393171060338,TP,1.5,14.17,959.33
2023-11-15 19:00:00,2023-11-15 19:10:00,sell,1946.07,1948.388,1942.5929999999998,TP,1.5,14.38,973.71
2023-11-16 06:20:00,2023-11-16 14:15:00,buy,1939.74,1934.652,1947.3719999999998,TP,1.5,14.6,988.31
2023-11-21 07:00:00,2023-11-21 07:45:00,buy,1980.31,1962.4451266298793,2007.107310055181,TP,1.5,14.81,1003.12
2023-11-28 19:00:00,2023-11-28 20:45:00,buy,2020.36,2013.338,2030.8929999999998,SL,-1.0,-10.04,993.08
2023-11-28 22:50:00,2023-11-28 23:10:00,buy,2016.62,2015.3648259024026,2018.5027611463959,TP,1.5,14.89,1007.97
2023-12-04 03:20:00,2023-12-04 04:00:00,buy,2063.13,2060.773056643458,2066.665415034813,TP,1.5,15.11,1023.08
2023-12-04 06:35:00,2023-12-04 06:50:00,buy,2063.47,2060.9749361846725,2067.212595722991,SL,-1.0,-10.24,1012.84
2023-12-04 12:20:00,2023-12-04 12:25:00,sell,2046.36,2049.2663494151006,2042.000475877349,SL,-1.0,-10.14,1002.7
2023-12-04 19:20:00,2023-12-04 19:25:00,sell,2022.91,2025.6694838547328,2018.770774217901,TP,1.5,15.03,1017.73
2023-12-05 02:55:00,2023-12-05 03:10:00,sell,2026.42,2027.7832861409152,2024.3750707886275,SL,-1.0,-10.19,1007.54
2023-12-06 02:10:00,2023-12-06 02:30:00,sell,2007.85,2011.92,2001.7449999999997,TP,1.5,15.1,1022.64
2023-12-08 07:00:00,2023-12-08 14:00:00,buy,2018.95,2010.214,2032.054,SL,-1.0,-10.24,1012.4
2023-12-11 07:20:00,2023-12-11 12:20:00,sell,1974.0,1977.0498423137517,1969.4252365293723,SL,-1.0,-10.13,1002.27
2023-12-11 19:05:00,2023-12-11 19:20:00,sell,1965.94,1968.6484871770406,1961.8772692344392,SL,-1.0,-10.03,992.24
2023-12-14 07:05:00,2023-12-14 07:10:00,buy,2011.64,2009.3770000000002,2015.0345,SL,-1.0,-9.93,982.31
2023-12-14 21:55:00,2023-12-15 16:45:00,buy,2011.48,2004.352,2022.172,SL,-1.0,-9.83,972.48
2023-12-18 13:40:00,2023-12-18 20:00:00,buy,2007.44,2002.028,2015.558,TP,1.5,14.58,987.06
2023-12-19 17:00:00,2023-12-19 17:05:00,buy,2021.12,2019.79402462928,2023.1089630560796,SL,-1.0,-9.88,977.18
2023-12-20 14:25:00,2023-12-20 14:30:00,sell,2018.13,2022.854,2011.0440000000003,SL,-1.0,-9.78,967.4
2023-12-21 20:55:00,2023-12-21 23:00:00,buy,2021.98,2019.9692067065334,2024.9961899401999,TP,1.5,14.5,981.9
2023-12-29 23:15:00,2023-12-30 02:30:00,sell,2032.27,2036.5850112533165,2025.7974831200254,TP,1.5,14.72,996.62
2023-12-31 08:15:00,2023-12-31 14:10:00,buy,2026.38,2016.06,2041.8600000000004,SL,-1.0,-9.98,986.64
2023-12-31 14:55:00,2023-12-31 15:00:00,sell,2023.75,2026.8584934744463,2019.0872597883306,TP,1.5,14.79,1001.43
2024-01-01 23:20:00,2024-01-02 01:05:00,buy,2031.36,2026.392,2038.8119999999997,TP,1.5,15.01,1016.44
2024-01-03 12:55:00,2024-01-03 13:00:00,sell,2023.82,2028.89171864886,2016.2124220267099,TP,1.5,15.24,1031.68
2024-01-04 20:05:00,2024-01-04 20:10:00,buy,2018.86,2017.6919369421146,2020.6120945868279,TP,1.5,15.46,1047.14
2024-01-09 19:40:00,2024-01-09 20:00:00,sell,2008.06,2009.7350460523196,2005.5474309215206,SL,-1.0,-10.48,1036.66
2024-01-09 21:55:00,2024-01-09 22:05:00,sell,2008.76,2011.583305029627,2004.5250424555597,SL,-1.0,-10.38,1026.28
2024-01-14 23:10:00,2024-01-14 23:35:00,buy,2022.63,2020.04,2026.5150000000003,SL,-1.0,-10.27,1016.01
2024-01-17 21:35:00,2024-01-17 21:40:00,sell,2004.2,2006.5877890185948,2000.6183164721078,TP,1.5,15.23,1031.24
