opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-07-30 12:15:00,2023-07-30 12:35:00,sell,24.991,25.01958074445992,24.94812888331012,TP,1.5,14.99,1014.99
2023-07-30 23:10:00,2023-07-30 23:20:00,sell,24.173,24.23072489513212,24.086412657301814,SL,-1.0,-10.16,1004.83
2023-07-31 04:35:00,2023-07-31 06:20:00,buy,24.423,24.362274153860426,24.51408876920936,TP,1.5,15.06,1019.89
2023-07-31 20:35:00,2023-07-31 20:40:00,sell,23.88,23.95851792780056,23.762223108299157,TP,1.5,15.29,1035.18
2023-08-03 13:15:00,2023-08-03 13:25:00,sell,22.804,22.85696773375059,22.72454839937411,TP,1.5,15.52,1050.7
2023-08-03 17:05:00,2023-08-03 17:10:00,sell,23.007,23.073449783841607,22.907325324237593,SL,-1.0,-10.52,1040.18
2023-08-03 18:15:00,2023-08-03 18:30:00,buy,22.793,22.73338022898091,22.882429656528636,TP,1.5,15.59,1055.77
2023-08-03 21:50:00,2023-08-03 21:55:00,buy,22.853,22.808952141199786,22.919071788200327,SL,-1.0,-10.57,1045.2
2023-08-04 15:35:00,2023-08-04 16:25:00,buy,23.333,23.26529503228901,23.43455745156648,TP,1.5,15.67,1060.87
2023-08-04 20:15:00,2023-08-04 20:35:00,sell,22.986,23.052509858294652,22.886235212558024,TP,1.5,15.9,1076.77
2023-08-05 02:15:00,2023-08-05 02:40:00,sell,22.683,22.743673807782823,22.591989288325763,SL,-1.0,-10.78,1065.99
2023-08-05 17:10:00,2023-08-05 17:15:00,sell,22.498,22.562209058390323,22.40168641241452,SL,-1.0,-10.67,1055.32
2023-08-05 23:55:00,2023-08-06 00:05:00,sell,22.659,22.684585749184897,22.62062137622265,TP,1.5,15.82,1071.14
2023-08-06 12:25:00,2023-08-06 12:35:00,buy,23.146,23.10173314717242,23.212400279241372,SL,-1.0,-10.72,1060.42
2023-08-06 16:00:00,2023-08-06 16:05:00,buy,23.019,22.977997514064732,23.080503728902897,SL,-1.0,-10.61,1049.81
2023-08-07 03:25:00,2023-08-07 03:30:00,buy,23.415,23.356528293072177,23.502707560391734,SL,-1.0,-10.51,1039.3
2023-08-07 13:00:00,2023-08-07 13:10:00,sell,23.071,23.119799999999998,22.997800000000005,TP,1.5,15.58,1054.88
2023-08-08 13:35:00,2023-08-08 13:40:00,buy,23.332,23.2535,23.44975,SL,-1.0,-10.56,1044.32
2023-08-09 02:15:00,2023-08-09 02:20:00,buy,24.363,24.30734022374317,24.44648966438524,SL,-1.0,-10.45,1033.87
2023-08-09 22:10:00,2023-08-09 23:10:00,sell,24.34,24.39806298706285,24.252905519405722,SL,-1.0,-10.35,1023.52
2023-08-10 08:40:00,2023-08-10 08:55:00,sell,24.33,24.366267339918192,24.27559899012271,SL,-1.0,-10.25,1013.27
2023-08-11 21:10:00,2023-08-11 21:35:00,sell,24.471,24.5011064339576,24.425840349063602,TP,1.5,15.19,1028.46
2023-08-11 23:10:00,2023-08-11 23:40:00,buy,24.571,24.535716197626872,24.623925703559696,SL,-1.0,-10.29,1018.17
2023-08-13 04:05:00,2023-08-13 04:15:00,buy,24.84,24.807165007395128,24.88925248890731,SL,-1.0,-10.19,1007.98
2023-08-13 14:30:00,2023-08-13 15:00:00,sell,24.65,24.6837546533078,24.599368020038295,TP,1.5,15.11,1023.09
2023-08-14 09:35:00,2023-08-14 12:20:00,buy,24.491,24.454999801809095,24.545000297286357,SL,-1.0,-10.24,1012.85
2023-08-14 14:15:00,2023-08-14 14:25:00,sell,24.511,24.54555331590081,24.459170026148783,SL,-1.0,-10.14,1002.71
2023-08-14 18:05:00,2023-08-14 21:35:00,buy,24.672,24.5069,24.919649999999997,TP,1.5,15.03,1017.74
2023-08-15 08:50:00,2023-08-15 09:05:00,sell,24.851,24.902706555397614,24.773440166903576,SL,-1.0,-10.19,1007.55
2023-08-15 11:05:00,2023-08-15 11:30:00,buy,24.95,24.909633447172542,25.010549829241185,SL,-1.0,-10.09,997.46
2023-08-16 10:35:00,2023-08-16 11:20:00,sell,23.505,23.55657640583099,23.42763539125351,SL,-1.0,-9.98,987.48
2023-08-17 06:35:00,2023-08-17 06:45:00,buy,23.247,23.20848627221377,23.304770591679347,SL,-1.0,-9.88,977.6
2023-08-18 12:10:00,2023-08-18 13:10:00,sell,21.938,21.998687941567276,21.84696808764908,TP,1.5,14.65,992.25
2023-08-20 14:10:00,2023-08-20 14:15:00,buy,21.908,21.870228069999374,21.96465789500094,SL,-1.0,-9.93,982.32
2023-08-20 17:40:00,2023-08-20 17:45:00,sell,21.821,21.868066477575507,21.750400283636743,SL,-1.0,-9.83,972.49
2023-08-20 23:40:00,2023-08-20 23:50:00,sell,21.792,21.81947511036308,21.750787334455385,TP,1.5,14.58,987.07
2023-08-23 08:55:00,2023-08-23 09:35:00,buy,20.774,20.733913539414768,20.83412969087785,TP,1.5,14.8,1001.87
2023-08-23 10:10:00,2023-08-23 10:25:00,buy,20.77,20.730132345615644,20.82980148157653,SL,-1.0,-10.03,991.84
2023-08-24 07:05:00,2023-08-24 07:25:00,buy,21.732,21.69358997515422,21.789615037268668,TP,1.5,14.87,1006.71
2023-08-24 12:05:00,2023-08-24 12:50:00,buy,21.669,21.6038,21.766800000000003,SL,-1.0,-10.08,996.63
2023-08-24 22:05:00,2023-08-24 23:05:00,sell,20.959,21.00353308803949,20.892200367940767,TP,1.5,14.94,1011.57
2023-08-24 23:35:00,2023-08-24 23:40:00,sell,20.947,20.979099971635563,20.898850042546655,SL,-1.0,-10.13,1001.44
2023-08-25 05:50:00,2023-08-25 06:15:00,sell,20.696,20.744896631506233,20.622655052740654,TP,1.5,15.01,1016.45
2023-08-25 10:20:00,2023-08-25 10:50:00,sell,20.696,20.729803332168903,20.64529500174665,TP,1.5,15.24,1031.69
2023-08-25 23:00:00,2023-08-25 23:50:00,sell,20.361,20.400494082454255,20.30175887631862,SL,-1.0,-10.33,1021.36
2023-08-27 01:50:00,2023-08-27 02:35:00,buy,20.334,20.30810866229444,20.37283700655834,SL,-1.0,-10.22,1011.14
2023-08-27 03:45:00,2023-08-27 03:50:00,sell,20.31,20.33100743403154,20.278488848952684,SL,-1.0,-10.12,1001.02
2023-08-28 06:10:00,2023-08-28 06:20:00,sell,20.411,20.455142834672625,20.344785747991068,TP,1.5,15.01,1016.03
2023-08-28 10:00:00,2023-08-28 10:20:00,sell,20.245,20.288071216102942,20.180393175845587,SL,-1.0,-10.17,1005.86
2023-08-28 14:10:00,2023-08-28 14:30:00,buy,20.521,20.47028192483953,20.597077112740706,TP,1.5,15.08,1020.94
2023-08-28 15:05:00,2023-08-28 15:25:00,buy,20.539,20.489540228852633,20.613189656721055,TP,1.5,15.3,1036.24
2023-08-29 19:55:00,2023-08-29 20:05:00,buy,21.586,21.51962748161837,21.68555877757244,TP,1.5,15.53,1051.77
2023-08-29 22:30:00,2023-08-29 22:45:00,buy,21.828,21.76674052357428,21.919889214638577,SL,-1.0,-10.53,1041.24
2023-08-30 03:10:00,2023-08-30 03:20:00,buy,21.54,21.490631899429427,21.614052150855855,SL,-1.0,-10.42,1030.82
2023-08-30 08:15:00,2023-08-30 08:35:00,buy,21.569,21.538897164759554,21.614154252860665,TP,1.5,15.45,1046.27
2023-08-30 13:15:00,2023-08-30 13:35:00,sell,21.467,21.51475435558621,21.39536846662068,TP,1.5,15.68,1061.95
2023-08-30 14:05:00,2023-08-30 14:10:00,sell,21.464,21.525773325658438,21.371340011512338,TP,1.5,15.92,1077.87
2023-08-30 17:45:00,2023-08-30 17:55:00,sell,20.801,20.861737120109233,20.709894319836145,TP,1.5,16.16,1094.03
2023-08-31 20:30:00,2023-08-31 20:45:00,sell,19.825,19.881123313411198,19.7408150298832,TP,1.5,16.4,1110.43
2023-09-01 00:05:00,2023-09-01 00:20:00,sell,19.797,19.83834274177751,19.734985887333735,SL,-1.0,-11.12,1099.31
2023-09-02 08:35:00,2023-09-02 08:50:00,buy,19.519,19.484838140385236,19.570242789422142,TP,1.5,16.48,1115.79
2023-09-02 13:40:00,2023-09-02 13:50:00,sell,19.507,19.542873215874017,19.453190176188976,TP,1.5,16.73,1132.52
2023-09-02 14:55:00,2023-09-02 15:05:00,sell,19.474,19.511686208836394,19.41747068674541,SL,-1.0,-11.34,1121.18
2023-09-03 22:00:00,2023-09-03 22:10:00,buy,19.452,19.420395707629748,19.499406438555383,TP,1.5,16.81,1137.99
2023-09-04 15:35:00,2023-09-04 21:55:00,sell,19.457,19.592499999999998,19.253750000000004,TP,1.5,17.06,1155.05
2023-09-05 07:10:00,2023-09-05 07:25:00,sell,19.282,19.30886006727596,19.24170989908606,SL,-1.0,-11.56,1143.49
2023-09-05 20:00:00,2023-09-05 20:15:00,buy,20.245,20.194987533783657,20.320018699324518,SL,-1.0,-11.45,1132.04
2023-09-06 02:05:00,2023-09-06 02:10:00,buy,20.179,20.133741041355325,20.24688843796701,SL,-1.0,-11.33,1120.71
2023-09-06 08:25:00,2023-09-06 08:35:00,sell,19.816,19.85830192854674,19.752547107179886,SL,-1.0,-11.22,1109.49
2023-09-06 12:35:00,2023-09-06 12:50:00,sell,19.804,19.83609576953817,19.75585634569274,TP,1.5,16.63,1126.12
2023-09-06 16:50:00,2023-09-06 17:00:00,sell,19.389,19.445030998391424,19.304953502412864,TP,1.5,16.88,1143.0
2023-09-06 19:40:00,2023-09-06 20:10:00,sell,19.497,19.560173371870107,19.40223994219484,SL,-1.0,-11.44,1131.56
2023-09-06 23:15:00,2023-09-07 00:25:00,sell,19.626,19.657544805913822,19.578682791129268,TP,1.5,16.96,1148.52
2023-09-07 13:15:00,2023-09-07 13:30:00,sell,19.436,19.469127884573403,19.386308173139895,TP,1.5,17.22,1165.74
2023-09-07 23:25:00,2023-09-07 23:55:00,buy,19.825,19.77170876189213,19.904936857161807,TP,1.5,17.47,1183.21
2023-09-08 12:35:00,2023-09-08 12:40:00,sell,19.6,19.638719583911744,19.541920624132388,SL,-1.0,-11.84,1171.37
2023-09-08 18:00:00,2023-09-08 18:30:00,sell,19.51,19.543178591282008,19.46023211307699,TP,1.5,17.56,1188.93
2023-09-08 19:15:00,2023-09-08 19:20:00,sell,19.477,19.505395765700445,19.434406351449333,SL,-1.0,-11.9,1177.03
2023-09-08 22:10:00,2023-09-08 22:35:00,sell,19.561,19.584317963952717,19.526023054070926,SL,-1.0,-11.78,1165.25
2023-09-10 03:00:00,2023-09-10 03:25:00,sell,19.301,19.32984977103707,19.257725343444392,TP,1.5,17.47,1182.72
2023-09-10 10:40:00,2023-09-10 10:55:00,sell,18.39,18.4478,18.3033,TP,1.5,17.73,1200.45
2023-09-10 15:35:00,2023-09-10 16:35:00,sell,18.204,18.303395448421252,18.05490682736812,TP,1.5,17.99,1218.44
