opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-11 09:15:00,2023-08-11 09:40:00,buy,1918.37,1916.9867127933665,1920.4449308099502,TP,1.5,14.99,1014.99
2023-08-15 18:35:00,2023-08-15 18:50:00,buy,1903.83,1902.0940799587063,1906.4338800619403,SL,-1.0,-10.16,1004.83
2023-08-17 23:10:00,2023-08-17 23:25:00,sell,1875.48,1878.766751060333,1870.5498734095004,SL,-1.0,-10.06,994.77
2023-09-20 18:05:00,2023-09-20 18:10:00,buy,1934.14,1933.1060490944994,1935.690926358251,SL,-1.0,-9.96,984.81
2023-10-17 07:50:00,2023-10-17 08:35:00,buy,1908.0,1905.5415250937342,1911.6877123593986,SL,-1.0,-9.86,974.95
2023-10-23 23:15:00,2023-10-23 23:25:00,sell,1956.97,1960.5516961628066,1951.5974557557902,TP,1.5,14.61,989.56
2023-10-25 14:45:00,2023-10-25 15:00:00,buy,1960.24,1956.3000243488389,1966.1499634767417,SL,-1.0,-9.91,979.65
2023-11-02 16:00:00,2023-11-02 17:00:00,sell,1956.21,1959.5840738916716,1951.1488891624927,SL,-1.0,-9.81,969.84
2023-11-03 04:55:00,2023-11-03 05:40:00,buy,1959.63,1958.1405694257921,1961.864145861312,SL,-1.0,-9.71,960.13
2023-11-05 21:50:00,2023-11-05 23:00:00,sell,1957.31,1961.2263725483779,1951.435441177433,SL,-1.0,-9.61,950.52
2023-11-06 12:10:00,2023-11-06 12:15:00,buy,1962.0,1960.4526959724924,1964.3209560412615,SL,-1.0,-9.51,941.01
2023-11-14 15:55:00,2023-11-14 16:00:00,buy,1942.9,1941.9223792933212,1944.3664310600184,SL,-1.0,-9.42,931.59
2023-11-15 19:00:00,2023-11-15 19:05:00,sell,1946.07,1947.806904404558,1943.4646433931628,SL,-1.0,-9.33,922.26
2023-11-16 06:20:00,2023-11-16 09:20:00,buy,1939.74,1937.7507534476313,1942.7238698285532,TP,1.5,13.82,936.08
2023-11-21 07:00:00,2023-11-21 07:45:00,buy,1980.31,1966.8102299816064,2000.5596550275902,TP,1.5,14.03,950.11
2023-11-28 19:00:00,2023-11-28 19:20:00,buy,2020.36,2017.7026161305291,2024.346075804206,TP,1.5,14.24,964.35
2023-12-04 03:20:00,2023-12-04 04:00:00,buy,2063.13,2060.968861655062,2066.3717075174072,TP,1.5,14.46,978.81
2023-12-04 06:35:00,2023-12-04 06:50:00,buy,2063.47,2061.7444680923363,2066.058297861495,SL,-1.0,-9.8,969.01
2023-12-04 19:20:00,2023-12-04 19:25:00,sell,2022.91,2025.4037419273661,2019.169387108951,TP,1.5,14.53,983.54
2023-12-06 02:10:00,2023-12-06 02:30:00,sell,2007.85,2009.437980704871,2005.4680289426933,TP,1.5,14.74,998.28
2023-12-11 07:20:00,2023-12-11 13:15:00,sell,1974.0,1978.1169211568758,1967.8246182646863,TP,1.5,14.96,1013.24
2023-12-11 19:05:00,2023-12-11 19:20:00,sell,1965.94,1968.8029102551868,1961.64563461722,SL,-1.0,-10.14,1003.1
2023-12-14 07:05:00,2023-12-14 07:10:00,buy,2011.64,2010.1592809194976,2013.8610786207537,SL,-1.0,-10.04,993.06
2023-12-18 13:40:00,2023-12-18 14:25:00,buy,2007.44,2003.6906662515494,2013.064000622676,TP,1.5,14.89,1007.95
2023-12-19 17:00:00,2023-12-19 17:05:00,buy,2021.12,2019.59701231464,2023.4044815280395,SL,-1.0,-10.09,997.86
2023-12-20 14:25:00,2023-12-20 14:30:00,sell,2018.13,2020.5466832109976,2014.504975183504,SL,-1.0,-9.99,987.87
2023-12-21 20:55:00,2023-12-22 11:15:00,buy,2021.98,2015.4826033532668,2031.7260949701,TP,1.5,14.81,1002.68
2023-12-29 23:15:00,2023-12-30 01:30:00,sell,2032.27,2034.8115056266583,2028.4577415600124,SL,-1.0,-10.04,992.64
2023-12-31 08:15:00,2023-12-31 09:10:00,buy,2026.38,2021.9414752010305,2033.0377871984547,SL,-1.0,-9.94,982.7
2023-12-31 14:55:00,2023-12-31 15:00:00,sell,2023.75,2024.7875800705565,2022.1936298941653,TP,1.5,14.73,997.43
2024-01-01 23:20:00,2024-01-01 23:25:00,buy,2031.36,2030.294379181475,2032.958431227787,TP,1.5,14.95,1012.38
2024-01-09 19:40:00,2024-01-09 20:00:00,sell,2008.06,2009.46152302616,2005.95771546076,SL,-1.0,-10.13,1002.25
2024-01-09 21:55:00,2024-01-09 22:05:00,sell,2008.76,2011.3906525148136,2004.8140212277794,SL,-1.0,-10.03,992.22
2024-01-18 00:20:00,2024-01-18 00:25:00,sell,2002.2,2004.3816749777034,1998.927487533445,TP,1.5,14.87,1007.09
2024-01-24 11:55:00,2024-01-24 12:25:00,buy,2016.29,2014.4968156328919,2018.979776550662,SL,-1.0,-10.08,997.01
2024-01-29 20:45:00,2024-01-29 21:00:00,buy,2012.94,2010.7174639856044,2016.2738040215936,SL,-1.0,-9.98,987.03
2024-02-04 21:00:00,2024-02-04 21:10:00,sell,2018.46,2020.5285232162757,2015.3572151755866,SL,-1.0,-9.88,977.15
2024-02-09 21:00:00,2024-02-09 21:05:00,sell,2005.99,2007.2187593444853,2004.146860983272,TP,1.5,14.65,991.8
2024-02-17 18:00:00,2024-02-17 18:05:00,buy,1988.5,1987.400091995832,1990.1498620062519,SL,-1.0,-9.93,981.87
2024-02-26 20:15:00,2024-02-26 20:45:00,sell,2004.2,2007.1782619968783,1999.7326070046827,TP,1.5,14.72,996.59
2024-02-28 08:00:00,2024-02-28 08:05:00,buy,2015.24,2011.975999916884,2020.1360001246742,SL,-1.0,-9.98,986.61
2024-03-03 18:55:00,2024-03-04 14:50:00,sell,2018.74,2032.102137737445,1998.6967933938326,SL,-1.0,-9.88,976.73
2024-03-05 19:05:00,2024-03-05 19:55:00,buy,2083.12,2073.852507555463,2097.0212386668054,SL,-1.0,-9.78,966.95
2024-03-09 12:35:00,2024-03-09 12:50:00,sell,2132.72,2134.7316107846545,2129.7025838230174,TP,1.5,14.49,981.44
2024-03-11 19:00:00,2024-03-11 19:10:00,buy,2158.73,2156.4915972755266,2162.08760408671,SL,-1.0,-9.82,971.62
2024-03-12 17:45:00,2024-03-12 17:50:00,sell,2136.17,2137.974792207442,2133.462811688837,SL,-1.0,-9.73,961.89
2024-03-14 07:30:00,2024-03-14 08:50:00,buy,2153.03,2150.914907853082,2156.2026382203776,TP,1.5,14.42,976.31
2024-03-14 15:20:00,2024-03-14 15:25:00,sell,2148.02,2150.0208866426347,2145.018670036048,TP,1.5,14.63,990.94
2024-03-15 03:15:00,2024-03-15 03:20:00,sell,2141.8,2143.527739700836,2139.2083904487467,TP,1.5,14.85,1005.79
2024-03-15 11:20:00,2024-03-15 11:25:00,sell,2143.84,2146.436018896044,2139.945971655934,SL,-1.0,-10.07,995.72
2024-03-22 06:25:00,2024-03-22 06:30:00,buy,2167.27,2165.404745875564,2170.0678811866537,SL,-1.0,-9.97,985.75
2024-03-28 19:05:00,2024-03-28 20:45:00,buy,2195.09,2192.7191253702867,2198.6463119445702,TP,1.5,14.78,1000.53
2024-03-29 18:45:00,2024-03-29 19:25:00,sell,2209.39,2211.3417565331506,2206.462365200274,SL,-1.0,-10.02,990.51
2024-03-31 11:45:00,2024-03-31 11:50:00,buy,2211.96,2209.6303905086575,2215.454414237014,TP,1.5,14.85,1005.36
2024-04-01 06:15:00,2024-04-01 06:25:00,buy,2235.41,2232.788610386099,2239.342084420851,TP,1.5,15.07,1020.43
2024-04-03 17:40:00,2024-04-03 17:45:00,buy,2272.05,2268.5241681809725,2277.3387477285414,TP,1.5,15.3,1035.73
2024-04-04 11:10:00,2024-04-04 11:20:00,buy,2291.07,2289.346476060621,2293.655285909069,SL,-1.0,-10.37,1025.36
2024-04-04 12:10:00,2024-04-04 12:35:00,buy,2291.13,2288.9763402917447,2294.360489562383,SL,-1.0,-10.26,1015.1
2024-04-04 16:25:00,2024-04-04 16:30:00,sell,2288.28,2290.00979702598,2285.6853044610307,TP,1.5,15.22,1030.32
2024-04-05 06:45:00,2024-04-05 06:50:00,sell,2259.63,2261.532128489893,2256.776807265161,SL,-1.0,-10.31,1020.01
2024-04-06 22:50:00,2024-04-06 23:00:00,buy,2310.64,2308.6243274106564,2313.663508884015,TP,1.5,15.29,1035.3
2024-04-09 15:05:00,2024-04-09 16:35:00,sell,2330.01,2334.581167981813,2323.153248027281,TP,1.5,15.52,1050.82
2024-04-13 21:15:00,2024-04-15 08:05:00,buy,2517.97,2362.249588713762,2751.5506169293567,SL,-1.0,-10.52,1040.3
2024-04-15 16:20:00,2024-04-15 16:30:00,sell,2354.98,2359.36845389944,2348.3973191508403,SL,-1.0,-10.41,1029.89
2024-04-16 14:50:00,2024-04-16 14:55:00,sell,2399.73,2401.0870200323384,2397.6944699514925,SL,-1.0,-10.31,1019.58
2024-04-17 17:55:00,2024-04-17 18:00:00,sell,2402.54,2405.3650080802604,2398.3024878796095,SL,-1.0,-10.21,1009.37
2024-04-17 23:00:00,2024-04-17 23:05:00,sell,2400.14,2403.0170431620113,2395.8244352569827,SL,-1.0,-10.1,999.27
2024-04-19 07:45:00,2024-04-19 07:55:00,buy,2404.88,2401.3588137301604,2410.1617794047597,SL,-1.0,-10.0,989.27
2024-04-23 12:20:00,2024-04-23 12:40:00,sell,2296.31,2299.1988382026543,2291.9767426960184,SL,-1.0,-9.9,979.37
2024-04-23 16:35:00,2024-04-23 16:45:00,sell,2313.02,2315.202143119751,2309.7467853203734,SL,-1.0,-9.8,969.57
2024-05-01 19:50:00,2024-05-01 19:55:00,buy,2297.76,2295.4333285186726,2301.250007221992,SL,-1.0,-9.71,959.86
2024-05-10 17:10:00,2024-05-10 17:15:00,sell,2340.36,2341.8471846842535,2338.12922297362,SL,-1.0,-9.61,950.25
2024-05-13 13:30:00,2024-05-13 13:55:00,sell,2332.85,2335.6901665757186,2328.5897501364216,TP,1.5,14.24,964.49
