opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-11 09:15:00,2023-08-11 09:20:00,buy,1918.37,1918.08,1918.8049999999998,TP,1.5,14.99,1014.99
2023-08-13 12:30:00,2023-08-13 12:35:00,sell,1901.35,1902.2069999999999,1900.0645,SL,-1.0,-10.16,1004.83
2023-08-15 18:35:00,2023-08-15 18:50:00,buy,1903.83,1902.147,1906.3545,SL,-1.0,-10.06,994.77
2023-08-16 17:25:00,2023-08-16 17:35:00,sell,1896.3,1896.311,1896.2835,SL,-1.0,-9.96,984.81
2023-08-17 23:10:00,2023-08-17 23:25:00,sell,1875.48,1878.346,1871.181,SL,-1.0,-9.86,974.95
2023-09-20 18:05:00,2023-09-20 18:15:00,buy,1934.14,1931.797,1937.6545,SL,-1.0,-9.76,965.19
2023-10-04 19:35:00,2023-10-04 19:40:00,buy,1831.93,1831.906,1831.9660000000003,TP,1.5,14.47,979.66
2023-10-08 11:30:00,2023-10-08 11:35:00,buy,1855.37,1855.1109999999999,1855.7585,TP,1.5,14.69,994.35
2023-10-10 08:40:00,2023-10-10 08:45:00,sell,1863.74,1863.811,1863.6335000000001,TP,1.5,14.91,1009.26
2023-10-17 07:50:00,2023-10-17 08:15:00,buy,1908.0,1906.636,1910.046,SL,-1.0,-10.1,999.16
2023-10-20 10:45:00,2023-10-20 11:00:00,buy,1966.13,1963.875,1969.5125000000003,SL,-1.0,-10.0,989.16
2023-10-23 08:45:00,2023-10-23 09:00:00,buy,1961.21,1958.295,1965.5825,TP,1.5,14.83,1003.99
2023-10-23 23:15:00,2023-10-23 23:25:00,sell,1956.97,1958.9479999999999,1954.0030000000002,TP,1.5,15.05,1019.04
2023-10-25 14:45:00,2023-10-25 15:00:00,buy,1960.24,1957.996,1963.6059999999998,SL,-1.0,-10.2,1008.84
2023-10-25 15:30:00,2023-10-25 15:35:00,buy,1957.85,1956.621,1959.6934999999996,SL,-1.0,-10.1,998.74
2023-11-02 16:00:00,2023-11-02 16:20:00,sell,1956.21,1957.838,1953.768,SL,-1.0,-10.0,988.74
2023-11-03 01:25:00,2023-11-03 01:30:00,sell,1956.9,1956.9640000000002,1956.804,TP,1.5,14.82,1003.56
2023-11-03 04:55:00,2023-11-03 05:40:00,buy,1959.63,1958.42,1961.4450000000002,SL,-1.0,-10.05,993.51
2023-11-05 21:50:00,2023-11-05 23:00:00,sell,1957.31,1960.294,1952.8339999999998,SL,-1.0,-9.95,983.56
2023-11-06 12:10:00,2023-11-06 12:15:00,buy,1962.0,1961.999,1962.0014999999999,SL,-1.0,-9.85,973.71
2023-11-14 15:55:00,2023-11-14 16:00:00,buy,1942.9,1941.076,1945.6360000000002,SL,-1.0,-9.75,963.96
2023-11-14 20:40:00,2023-11-14 20:45:00,buy,1942.71,1942.037,1943.7195000000002,TP,1.5,14.45,978.41
2023-11-15 19:00:00,2023-11-15 19:10:00,sell,1946.07,1948.388,1942.5929999999998,TP,1.5,14.67,993.08
2023-11-16 06:20:00,2023-11-16 14:15:00,buy,1939.74,1934.652,1947.3719999999998,TP,1.5,14.89,1007.97
2023-11-21 07:00:00,2023-11-21 07:05:00,buy,1980.31,1980.22,1980.4449999999997,TP,1.5,15.11,1023.08
2023-11-28 19:00:00,2023-11-28 20:45:00,buy,2020.36,2013.338,2030.8929999999998,SL,-1.0,-10.24,1012.84
