opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-07 13:35:00,2023-08-07 14:00:00,buy,1940.51,1935.947,1947.3545000000001,SL,-1.0,-10.01,989.99
2023-08-07 18:00:00,2023-08-07 20:20:00,buy,1940.0,1932.857,1950.7145,SL,-1.0,-9.91,980.08
2023-08-08 03:00:00,2023-08-08 21:50:00,sell,1935.85,1944.2720000000002,1923.2169999999996,TP,1.5,14.69,994.77
2023-08-09 01:50:00,2023-08-09 02:40:00,sell,1927.05,1930.7920000000001,1921.4369999999997,SL,-1.0,-9.96,984.81
2023-08-09 09:20:00,2023-08-09 10:55:00,sell,1933.24,1935.0320000000002,1930.5519999999997,TP,1.5,14.76,999.57
2023-08-09 11:00:00,2023-08-09 12:15:00,sell,1930.85,1932.345,1928.6074999999996,TP,1.5,14.98,1014.55
2023-08-09 12:40:00,2023-08-09 13:00:00,sell,1929.28,1930.577,1927.3345,SL,-1.0,-10.16,1004.39
2023-08-09 14:50:00,2023-08-09 15:15:00,sell,1925.89,1928.796,1921.5310000000002,SL,-1.0,-10.05,994.34
2023-08-09 15:55:00,2023-08-09 16:05:00,sell,1925.09,1926.6709999999998,1922.7185,SL,-1.0,-9.95,984.39
2023-08-09 17:30:00,2023-08-09 17:55:00,sell,1922.71,1924.315,1920.3025,SL,-1.0,-9.85,974.54
2023-08-09 19:50:00,2023-08-09 22:40:00,sell,1922.92,1926.352,1917.772,TP,1.5,14.61,989.15
2023-08-10 04:50:00,2023-08-10 06:10:00,sell,1919.4,1921.4180000000001,1916.373,SL,-1.0,-9.9,979.25
2023-08-10 06:45:00,2023-08-10 07:10:00,sell,1919.37,1921.772,1915.7669999999998,SL,-1.0,-9.8,969.45
2023-08-10 09:00:00,2023-08-10 10:15:00,sell,1920.64,1922.8,1917.4000000000003,SL,-1.0,-9.7,959.75
2023-08-10 10:35:00,2023-08-10 11:05:00,sell,1921.26,1923.614,1917.7289999999998,SL,-1.0,-9.61,950.14
2023-08-10 12:20:00,2023-08-10 12:30:00,sell,1921.16,1925.23,1915.0550000000003,SL,-1.0,-9.51,940.63
2023-08-10 13:55:00,2023-08-10 14:00:00,sell,1923.58,1926.049,1919.8764999999999,SL,-1.0,-9.42,931.21
2023-08-10 14:15:00,2023-08-11 12:50:00,sell,1921.62,1925.179,1916.2814999999996,TP,1.5,13.96,945.17
2023-08-11 14:40:00,2023-08-11 14:45:00,sell,1916.29,1918.143,1913.5104999999999,SL,-1.0,-9.46,935.71
2023-08-11 18:50:00,2023-08-11 20:00:00,sell,1912.54,1917.103,1905.6954999999998,TP,1.5,14.03,949.74
2023-08-12 01:05:00,2023-08-12 02:55:00,sell,1906.24,1907.3899999999999,1904.5150000000003,TP,1.5,14.24,963.98
2023-08-12 06:30:00,2023-08-12 06:55:00,sell,1901.32,1904.907,1895.9395,TP,1.5,14.45,978.43
2023-08-12 08:50:00,2023-08-12 09:10:00,sell,1905.43,1908.41,1900.96,SL,-1.0,-9.79,968.64
2023-08-12 09:30:00,2023-08-12 09:35:00,sell,1905.35,1907.212,1902.5569999999998,TP,1.5,14.52,983.16
2023-08-12 10:00:00,2023-08-12 13:40:00,sell,1902.3,1907.841,1893.9885,SL,-1.0,-9.84,973.32
2023-08-12 13:50:00,2023-08-12 14:15:00,sell,1906.5,1908.8090000000002,1903.0364999999997,TP,1.5,14.59,987.91
2023-08-12 17:05:00,2023-08-12 18:55:00,sell,1905.31,1908.8490000000002,1900.0014999999996,TP,1.5,14.81,1002.72
2023-08-12 19:55:00,2023-08-12 20:15:00,sell,1897.31,1898.915,1894.9025,SL,-1.0,-10.04,992.68
2023-08-12 20:55:00,2023-08-14 04:25:00,sell,1903.08,1909.1290000000001,1894.0064999999995,SL,-1.0,-9.94,982.74
2023-08-14 08:50:00,2023-08-14 10:15:00,sell,1909.28,1911.7649999999999,1905.5525000000002,TP,1.5,14.73,997.47
2023-08-14 13:30:00,2023-08-14 14:40:00,sell,1903.0,1907.244,1896.634,SL,-1.0,-9.98,987.49
2023-08-14 15:35:00,2023-08-15 01:15:00,sell,1903.98,1908.2730000000001,1897.5404999999998,TP,1.5,14.8,1002.29
2023-08-15 02:15:00,2023-08-15 02:30:00,sell,1897.0,1899.972,1892.542,SL,-1.0,-10.03,992.26
2023-08-15 02:55:00,2023-08-15 09:40:00,sell,1895.94,1901.653,1887.3705,SL,-1.0,-9.93,982.33
2023-08-15 10:45:00,2023-08-15 11:40:00,sell,1899.96,1902.1490000000001,1896.6765,SL,-1.0,-9.83,972.5
2023-08-15 15:05:00,2023-08-15 15:30:00,sell,1906.28,1907.379,1904.6315,SL,-1.0,-9.73,962.77
2023-08-15 16:15:00,2023-08-15 19:05:00,sell,1905.3,1908.691,1900.2134999999998,TP,1.5,14.43,977.2
2023-08-15 19:15:00,2023-08-16 06:40:00,sell,1899.01,1903.311,1892.5585,SL,-1.0,-9.78,967.42
2023-08-16 07:45:00,2023-08-16 08:05:00,sell,1898.53,1901.446,1894.156,SL,-1.0,-9.68,957.74
2023-08-16 09:55:00,2023-08-16 10:10:00,sell,1901.25,1903.191,1898.3384999999998,SL,-1.0,-9.59,948.15
2023-08-16 11:15:00,2023-08-16 21:10:00,sell,1899.78,1906.636,1889.496,TP,1.5,14.21,962.36
2023-08-16 23:15:00,2023-08-17 05:35:00,sell,1889.56,1893.52,1883.62,SL,-1.0,-9.63,952.73
2023-08-17 08:25:00,2023-08-17 08:40:00,sell,1893.36,1894.387,1891.8194999999998,SL,-1.0,-9.54,943.19
2023-08-17 09:25:00,2023-08-17 11:10:00,sell,1888.04,1895.139,1877.3915000000002,SL,-1.0,-9.44,933.75
2023-08-17 13:40:00,2023-08-17 15:00:00,sell,1894.31,1897.043,1890.2105000000001,TP,1.5,14.0,947.75
2023-08-17 19:20:00,2023-08-17 19:25:00,sell,1881.32,1882.593,1879.4104999999997,SL,-1.0,-9.49,938.26
2023-08-17 19:35:00,2023-08-17 21:40:00,sell,1880.38,1882.924,1876.5640000000003,TP,1.5,14.06,952.32
2023-08-17 22:40:00,2023-08-17 22:45:00,sell,1865.05,1872.311,1854.1585,SL,-1.0,-9.53,942.79
2023-08-17 23:25:00,2023-08-17 23:55:00,sell,1876.76,1882.8439665302853,1867.6340502045718,TP,1.5,14.13,956.92
2023-08-18 02:45:00,2023-08-18 02:55:00,sell,1884.29,1888.196,1878.431,SL,-1.0,-9.58,947.34
2023-08-18 04:05:00,2023-08-18 04:15:00,sell,1884.85,1886.113,1882.9554999999996,SL,-1.0,-9.48,937.86
2023-08-18 04:25:00,2023-08-18 06:15:00,sell,1883.87,1887.6119999999999,1878.257,TP,1.5,14.06,951.92
2023-08-18 06:20:00,2023-08-18 06:40:00,sell,1879.1,1886.944,1867.3339999999998,SL,-1.0,-9.53,942.39
2023-08-18 09:00:00,2023-08-18 09:35:00,sell,1888.91,1890.837,1886.0195000000003,SL,-1.0,-9.43,932.96
2023-08-18 09:50:00,2023-08-18 15:30:00,sell,1887.96,1890.419,1884.2714999999998,TP,1.5,13.99,946.95
2023-08-18 20:10:00,2023-08-18 20:15:00,sell,1876.04,1879.595,1870.7075,SL,-1.0,-9.48,937.47
2023-08-18 21:55:00,2023-08-19 00:20:00,sell,1874.98,1877.768,1870.798,TP,1.5,14.05,951.52
2023-08-19 00:35:00,2023-08-19 07:00:00,sell,1871.83,1875.281,1866.6535,SL,-1.0,-9.52,942.0
2023-08-19 10:35:00,2023-08-19 11:50:00,sell,1877.65,1879.076,1875.5110000000002,TP,1.5,14.12,956.12
2023-08-19 15:20:00,2023-08-19 15:50:00,sell,1874.48,1875.6930000000002,1872.6604999999997,SL,-1.0,-9.57,946.55
2023-08-19 16:05:00,2023-08-19 16:20:00,sell,1874.48,1875.748,1872.578,TP,1.5,14.19,960.74
2023-08-19 16:50:00,2023-08-19 22:45:00,sell,1873.48,1875.75,1870.075,TP,1.5,14.4,975.14
2023-08-20 07:50:00,2023-08-20 08:45:00,sell,1873.1,1875.066,1870.1509999999998,TP,1.5,14.62,989.76
2023-08-20 11:50:00,2023-08-20 15:05:00,sell,1872.09,1874.0130000000001,1869.2054999999996,TP,1.5,14.84,1004.6
2023-08-20 15:30:00,2023-08-20 15:40:00,sell,1870.14,1872.288,1866.9180000000001,SL,-1.0,-10.06,994.54
2023-08-20 17:30:00,2023-08-20 21:55:00,sell,1867.98,1872.322,1861.467,TP,1.5,14.91,1009.45
2023-08-20 22:05:00,2023-08-21 04:55:00,sell,1869.91,1873.0092968753193,1865.2610546870214,SL,-1.0,-10.1,999.35
2023-08-21 07:20:00,2023-08-21 07:40:00,sell,1872.33,1873.4399999999998,1870.665,SL,-1.0,-10.0,989.35
2023-08-21 07:45:00,2023-08-21 08:55:00,sell,1872.33,1873.952,1869.897,SL,-1.0,-9.9,979.45
2023-08-21 13:20:00,2023-08-21 14:25:00,sell,1878.65,1880.5020000000002,1875.8719999999998,SL,-1.0,-9.8,969.65
2023-08-21 14:30:00,2023-08-22 02:35:00,sell,1877.4,1881.6799999999998,1870.9800000000005,SL,-1.0,-9.71,959.94
2023-08-22 06:20:00,2023-08-23 13:50:00,buy,1886.7,1877.8319999999999,1900.0020000000004,TP,1.5,14.39,974.33
2023-08-23 16:15:00,2023-08-23 17:10:00,buy,1906.74,1904.143,1910.6354999999999,TP,1.5,14.61,988.94
2023-08-23 19:45:00,2023-08-23 19:55:00,buy,1912.31,1910.375,1915.2124999999999,SL,-1.0,-9.9,979.04
2023-08-23 20:05:00,2023-08-23 21:05:00,buy,1910.3,1907.0259999999998,1915.2110000000002,SL,-1.0,-9.8,969.24
2023-08-23 22:05:00,2023-08-23 22:10:00,buy,1907.98,1906.6689999999999,1909.9465000000002,TP,1.5,14.53,983.77
2023-08-23 23:15:00,2023-08-24 00:10:00,buy,1907.95,1905.472,1911.6670000000001,SL,-1.0,-9.85,973.92
2023-08-24 00:20:00,2023-08-24 00:30:00,buy,1906.13,1903.5620000000001,1909.982,SL,-1.0,-9.75,964.17
2023-08-24 04:10:00,2023-08-24 11:30:00,buy,1907.23,1904.75,1910.95,SL,-1.0,-9.65,954.52
