opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-07 13:35:00,2023-08-07 14:00:00,buy,1940.51,1935.699,1947.7264999999998,SL,-1.0,-10.01,989.99
2023-08-07 14:50:00,2023-08-07 16:40:00,sell,1935.29,1939.171,1929.4685,TP,1.5,14.84,1004.83
2023-08-07 18:00:00,2023-08-08 13:35:00,buy,1940.0,1932.012,1951.982,SL,-1.0,-10.06,994.77
2023-08-08 13:45:00,2023-08-08 16:10:00,sell,1934.24,1936.631,1930.6535,SL,-1.0,-9.96,984.81
2023-08-08 16:50:00,2023-08-08 18:15:00,buy,1939.96,1933.73,1949.305,SL,-1.0,-9.86,974.95
2023-08-08 18:50:00,2023-08-08 20:25:00,sell,1932.23,1937.166,1924.826,SL,-1.0,-9.76,965.19
2023-08-08 21:50:00,2023-08-11 12:50:00,sell,1927.25,1936.6899999999998,1913.0900000000001,TP,1.5,14.47,979.66
2023-08-11 13:10:00,2023-08-11 18:50:00,sell,1916.17,1919.299,1911.4765000000002,TP,1.5,14.69,994.35
2023-08-11 20:00:00,2023-08-11 20:35:00,sell,1909.2,1917.4569999999999,1896.8145000000004,TP,1.5,14.91,1009.26
2023-08-11 22:15:00,2023-08-12 06:50:00,sell,1904.8,1908.4589999999998,1899.3115000000003,TP,1.5,15.13,1024.39
2023-08-12 09:35:00,2023-08-12 13:40:00,sell,1904.15,1908.51,1897.6100000000001,SL,-1.0,-10.25,1014.14
2023-08-12 14:10:00,2023-08-12 19:20:00,sell,1904.29,1908.854,1897.444,TP,1.5,15.2,1029.34
2023-08-12 19:30:00,2023-08-12 21:00:00,sell,1898.39,1904.489,1889.2415,SL,-1.0,-10.3,1019.04
2023-08-12 23:20:00,2023-08-13 18:50:00,sell,1900.95,1904.2959999999998,1895.9310000000005,SL,-1.0,-10.2,1008.84
2023-08-13 20:30:00,2023-08-13 22:00:00,sell,1903.03,1905.795,1898.8824999999997,SL,-1.0,-10.1,998.74
2023-08-13 22:25:00,2023-08-13 23:30:00,sell,1902.29,1906.338,1896.2179999999998,SL,-1.0,-10.0,988.74
2023-08-14 00:20:00,2023-08-14 03:15:00,sell,1902.48,1906.8349999999998,1895.9475000000002,SL,-1.0,-9.9,978.84
2023-08-14 04:50:00,2023-08-14 05:05:00,sell,1908.19,1909.2060000000001,1906.666,SL,-1.0,-9.8,969.04
2023-08-14 06:10:00,2023-08-14 08:10:00,sell,1908.35,1911.594,1903.4839999999997,SL,-1.0,-9.7,959.34
2023-08-14 10:15:00,2023-08-14 15:25:00,sell,1903.13,1911.328,1890.8330000000003,SL,-1.0,-9.6,949.74
2023-08-14 17:40:00,2023-08-14 20:25:00,sell,1905.1,1908.131,1900.5534999999995,TP,1.5,14.24,963.98
2023-08-14 20:55:00,2023-08-14 21:00:00,sell,1899.43,1901.4009999999998,1896.4735000000005,SL,-1.0,-9.65,954.33
2023-08-14 22:10:00,2023-08-15 09:50:00,sell,1900.02,1903.31,1895.085,SL,-1.0,-9.55,944.78
2023-08-15 10:30:00,2023-08-15 12:00:00,sell,1900.61,1903.941,1895.6134999999997,SL,-1.0,-9.46,935.32
2023-08-15 13:55:00,2023-08-15 14:30:00,sell,1900.88,1905.805,1893.4925000000003,SL,-1.0,-9.36,925.96
2023-08-15 15:15:00,2023-08-15 15:30:00,sell,1905.3,1907.3799999999999,1902.18,SL,-1.0,-9.27,916.69
2023-08-15 16:45:00,2023-08-15 19:40:00,sell,1904.29,1908.913,1897.3555,TP,1.5,13.74,930.43
2023-08-15 20:00:00,2023-08-15 21:35:00,sell,1897.13,1899.172,1894.0670000000002,SL,-1.0,-9.31,921.12
2023-08-15 23:00:00,2023-08-16 03:15:00,sell,1897.45,1901.5680000000002,1891.2729999999997,SL,-1.0,-9.22,911.9
2023-08-16 04:00:00,2023-08-16 06:40:00,sell,1898.3,1901.996,1892.7559999999999,SL,-1.0,-9.13,902.77
2023-08-16 07:05:00,2023-08-16 08:05:00,sell,1899.94,1902.5269999999998,1896.0595000000003,SL,-1.0,-9.04,893.73
