opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-07-28 10:25:00,2023-07-28 12:30:00,buy,1941.21,1939.058,1944.438,TP,1.5,14.99,1014.99
2023-07-28 12:40:00,2023-07-28 16:20:00,buy,1944.76,1941.784,1949.2239999999997,TP,1.5,15.21,1030.2
2023-07-28 19:40:00,2023-07-29 14:35:00,buy,1947.87,1944.558,1952.8379999999997,SL,-1.0,-10.31,1019.89
2023-07-29 16:20:00,2023-07-29 17:10:00,sell,1944.23,1945.505,1942.3174999999999,SL,-1.0,-10.21,1009.68
2023-07-29 20:50:00,2023-07-30 00:35:00,sell,1944.88,1948.966,1938.7510000000004,SL,-1.0,-10.11,999.57
2023-07-30 03:40:00,2023-07-30 05:45:00,buy,1949.15,1947.202,1952.0720000000001,SL,-1.0,-10.01,989.56
2023-07-30 06:00:00,2023-07-30 08:35:00,buy,1947.23,1944.7130000000002,1951.0054999999998,SL,-1.0,-9.91,979.65
2023-07-30 09:20:00,2023-07-30 10:10:00,buy,1947.02,1945.21,1949.735,SL,-1.0,-9.81,969.84
2023-07-30 10:30:00,2023-07-30 11:05:00,sell,1944.23,1946.545,1940.7575,SL,-1.0,-9.71,960.13
2023-07-30 13:15:00,2023-07-30 14:30:00,sell,1946.37,1948.107,1943.7644999999998,SL,-1.0,-9.61,950.52
2023-07-30 15:10:00,2023-07-30 18:40:00,sell,1944.26,1948.747,1937.5294999999999,SL,-1.0,-9.51,941.01
2023-07-30 19:30:00,2023-07-30 19:45:00,buy,1949.57,1947.086,1953.2959999999998,SL,-1.0,-9.42,931.59
2023-07-30 19:50:00,2023-07-31 12:35:00,sell,1944.37,1949.8039999999999,1936.219,SL,-1.0,-9.33,922.26
2023-07-31 13:45:00,2023-07-31 16:25:00,buy,1952.19,1949.587,1956.0945000000002,TP,1.5,13.82,936.08
2023-07-31 17:10:00,2023-07-31 19:20:00,buy,1955.37,1953.526,1958.1359999999995,SL,-1.0,-9.37,926.71
2023-07-31 20:40:00,2023-07-31 21:00:00,buy,1953.55,1951.672,1956.3669999999997,SL,-1.0,-9.28,917.43
2023-07-31 22:35:00,2023-08-01 00:00:00,sell,1949.42,1953.594,1943.159,TP,1.5,13.75,931.18
2023-08-01 00:45:00,2023-08-01 02:00:00,buy,1951.15,1948.35,1955.3500000000004,SL,-1.0,-9.32,921.86
2023-08-01 06:35:00,2023-08-01 08:40:00,sell,1944.65,1946.684,1941.5990000000002,TP,1.5,13.82,935.68
2023-08-01 10:50:00,2023-08-01 12:00:00,sell,1942.42,1943.88,1940.23,TP,1.5,14.03,949.71
2023-08-01 15:15:00,2023-08-01 15:20:00,sell,1935.24,1937.38,1932.0299999999997,SL,-1.0,-9.51,940.2
2023-08-01 16:15:00,2023-08-01 18:20:00,sell,1937.42,1939.044,1934.984,SL,-1.0,-9.41,930.79
2023-08-01 19:05:00,2023-08-02 14:15:00,buy,1940.98,1935.133,1949.7505,SL,-1.0,-9.32,921.47
2023-08-02 17:35:00,2023-08-02 18:30:00,sell,1931.1,1934.6940000000002,1925.7089999999994,SL,-1.0,-9.22,912.25
2023-08-02 20:00:00,2023-08-03 06:40:00,buy,1938.89,1930.45,1951.5500000000002,SL,-1.0,-9.13,903.12
2023-08-03 09:15:00,2023-08-03 09:40:00,buy,1933.9,1931.303,1937.7955000000002,SL,-1.0,-9.04,894.08
2023-08-03 09:45:00,2023-08-03 10:50:00,sell,1931.94,1934.0279999999998,1928.8080000000004,TP,1.5,13.4,907.48
2023-08-03 13:05:00,2023-08-03 14:05:00,sell,1927.87,1929.679,1925.1564999999996,SL,-1.0,-9.08,898.4
2023-08-03 14:15:00,2023-08-03 19:40:00,buy,1932.57,1928.353,1938.8954999999996,SL,-1.0,-8.99,889.41
2023-08-03 20:00:00,2023-08-03 20:20:00,sell,1928.79,1930.337,1926.4695,SL,-1.0,-8.9,880.51
2023-08-03 20:25:00,2023-08-04 08:10:00,buy,1931.64,1928.0810000000001,1936.9785000000002,SL,-1.0,-8.81,871.7
2023-08-04 08:30:00,2023-08-04 12:00:00,sell,1927.5,1930.753,1922.6205,SL,-1.0,-8.73,862.97
2023-08-04 14:00:00,2023-08-04 15:55:00,buy,1937.38,1934.5030000000002,1941.6955,SL,-1.0,-8.64,854.33
2023-08-04 16:00:00,2023-08-04 16:30:00,buy,1938.15,1936.5430000000001,1940.5605,SL,-1.0,-8.55,845.78
2023-08-04 16:40:00,2023-08-04 18:45:00,buy,1940.39,1934.3110000000001,1949.5085,SL,-1.0,-8.47,837.31
2023-08-04 19:30:00,2023-08-04 19:35:00,buy,1936.25,1934.051,1939.5485,TP,1.5,12.55,849.86
2023-08-04 20:30:00,2023-08-05 00:30:00,buy,1938.3,1935.138,1943.0430000000001,TP,1.5,12.74,862.6
2023-08-05 04:40:00,2023-08-05 07:05:00,buy,1943.14,1939.26,1948.9600000000003,SL,-1.0,-8.63,853.97
2023-08-05 09:15:00,2023-08-05 12:35:00,buy,1947.2,1937.6219999999998,1961.5670000000005,SL,-1.0,-8.55,845.42
2023-08-05 12:40:00,2023-08-05 12:50:00,sell,1938.94,1942.244,1933.9840000000004,SL,-1.0,-8.46,836.96
2023-08-05 13:30:00,2023-08-05 15:45:00,buy,1944.1,1940.783,1949.0755,SL,-1.0,-8.38,828.58
2023-08-05 16:35:00,2023-08-05 17:50:00,buy,1945.46,1943.398,1948.5530000000003,SL,-1.0,-8.29,820.29
2023-08-05 18:20:00,2023-08-05 18:25:00,buy,1942.6,1939.6799999999998,1946.98,SL,-1.0,-8.21,812.08
2023-08-05 20:20:00,2023-08-05 20:25:00,buy,1941.96,1940.8400000000001,1943.6399999999999,SL,-1.0,-8.13,803.95
2023-08-05 20:55:00,2023-08-05 23:00:00,buy,1942.71,1940.7220000000002,1945.6919999999998,SL,-1.0,-8.05,795.9
2023-08-06 01:10:00,2023-08-06 02:10:00,buy,1942.48,1940.752,1945.0720000000001,SL,-1.0,-7.97,787.93
2023-08-06 02:20:00,2023-08-06 17:45:00,sell,1938.88,1942.583,1933.3255000000001,SL,-1.0,-7.89,780.04
2023-08-06 18:40:00,2023-08-07 08:35:00,buy,1943.6,1938.567,1951.1494999999998,SL,-1.0,-7.81,772.23
2023-08-07 10:00:00,2023-08-07 13:35:00,sell,1937.09,1940.3059999999998,1932.266,SL,-1.0,-7.73,764.5
2023-08-07 13:45:00,2023-08-07 15:25:00,sell,1938.39,1941.735,1933.3725000000004,TP,1.5,11.46,775.96
2023-08-07 17:55:00,2023-08-07 20:20:00,buy,1939.17,1932.857,1948.6395000000002,SL,-1.0,-7.77,768.19
2023-08-08 03:00:00,2023-08-08 16:50:00,sell,1935.85,1941.069,1928.0214999999998,SL,-1.0,-7.69,760.5
2023-08-08 18:15:00,2023-08-08 18:20:00,sell,1932.22,1935.0500000000002,1927.975,SL,-1.0,-7.61,752.89
2023-08-08 20:25:00,2023-08-08 21:50:00,buy,1937.44,1932.972,1944.1420000000003,SL,-1.0,-7.54,745.35
2023-08-09 01:50:00,2023-08-09 02:40:00,sell,1927.05,1930.7920000000001,1921.4369999999997,SL,-1.0,-7.46,737.89
2023-08-09 09:50:00,2023-08-09 16:45:00,sell,1931.02,1935.205,1924.7425,TP,1.5,11.06,748.95
2023-08-09 17:30:00,2023-08-09 17:55:00,sell,1922.71,1924.315,1920.3025,SL,-1.0,-7.5,741.45
2023-08-09 19:50:00,2023-08-09 22:40:00,sell,1922.92,1926.352,1917.772,TP,1.5,11.11,752.56
2023-08-10 04:50:00,2023-08-10 06:10:00,sell,1919.4,1921.4180000000001,1916.373,SL,-1.0,-7.53,745.03
2023-08-10 06:45:00,2023-08-10 07:10:00,sell,1919.37,1921.772,1915.7669999999998,SL,-1.0,-7.46,737.57
2023-08-10 07:35:00,2023-08-10 19:55:00,buy,1923.08,1917.813,1930.9804999999997,SL,-1.0,-7.38,730.19
2023-08-10 20:15:00,2023-08-11 06:25:00,sell,1919.21,1921.572,1915.6670000000004,SL,-1.0,-7.31,722.88
2023-08-11 11:30:00,2023-08-11 12:50:00,buy,1919.39,1917.049,1922.9015000000004,SL,-1.0,-7.24,715.64
2023-08-11 14:40:00,2023-08-11 14:45:00,sell,1916.29,1918.143,1913.5104999999999,SL,-1.0,-7.16,708.48
2023-08-11 18:50:00,2023-08-11 20:00:00,sell,1912.54,1916.31,1906.885,TP,1.5,10.62,719.1
2023-08-12 02:05:00,2023-08-12 04:55:00,sell,1905.55,1907.454,1902.694,TP,1.5,10.78,729.88
2023-08-12 06:30:00,2023-08-12 06:55:00,sell,1901.32,1904.907,1895.9395,TP,1.5,10.94,740.82
2023-08-12 07:10:00,2023-08-12 18:55:00,buy,1908.31,1901.317,1918.7994999999999,SL,-1.0,-7.42,733.4
2023-08-12 19:55:00,2023-08-12 20:15:00,sell,1897.31,1898.915,1894.9025,SL,-1.0,-7.34,726.06
2023-08-12 20:55:00,2023-08-14 03:20:00,sell,1903.08,1907.27,1896.7949999999998,SL,-1.0,-7.27,718.79
2023-08-14 08:40:00,2023-08-14 09:45:00,buy,1911.54,1908.127,1916.6595,SL,-1.0,-7.2,711.59
2023-08-14 10:15:00,2023-08-14 15:25:00,sell,1903.13,1911.7649999999999,1890.1775000000005,SL,-1.0,-7.12,704.47
2023-08-14 15:35:00,2023-08-15 01:15:00,sell,1903.98,1908.2730000000001,1897.5404999999998,TP,1.5,10.56,715.03
