opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-07-28 13:00:00,2023-07-28 13:20:00,buy,1943.84,1942.2268199999999,1946.2597700000001,SL,-1.0,-10.01,989.99
2023-07-29 12:15:00,2023-07-29 14:00:00,buy,1948.99,1947.2094,1951.6609,SL,-1.0,-9.91,980.08
2023-07-29 15:20:00,2023-07-30 00:15:00,sell,1944.24,1947.26908,1939.6963799999999,SL,-1.0,-9.81,970.27
2023-07-30 09:10:00,2023-07-30 09:20:00,sell,1945.32,1946.7366,1943.1951,SL,-1.0,-9.71,960.56
2023-07-31 06:15:00,2023-07-31 11:00:00,sell,1941.4,1944.55864,1936.6620400000002,SL,-1.0,-9.62,950.94
2023-08-01 00:30:00,2023-08-01 02:05:00,sell,1949.24,1951.9302599999999,1945.2046100000002,TP,1.5,14.25,965.19
2023-08-01 02:45:00,2023-08-01 08:40:00,sell,1946.23,1949.4940199999999,1941.3339700000001,TP,1.5,14.47,979.66
2023-08-01 11:35:00,2023-08-01 12:00:00,sell,1941.24,1943.11718,1938.42423,TP,1.5,14.69,994.35
2023-08-01 12:25:00,2023-08-01 22:20:00,sell,1938.6,1941.7399,1933.8901499999997,SL,-1.0,-9.95,984.4
2023-08-02 05:15:00,2023-08-02 05:45:00,sell,1936.31,1937.60562,1934.3665699999997,SL,-1.0,-9.85,974.55
2023-08-02 07:00:00,2023-08-02 07:35:00,buy,1938.14,1936.8360599999999,1940.0959100000005,SL,-1.0,-9.76,964.79
2023-08-02 12:10:00,2023-08-02 13:30:00,buy,1939.69,1938.0534,1942.1449000000002,SL,-1.0,-9.66,955.13
2023-08-02 18:10:00,2023-08-02 18:30:00,sell,1931.82,1934.34376,1928.0343599999999,SL,-1.0,-9.56,945.57
2023-08-02 20:40:00,2023-08-02 20:55:00,buy,1935.97,1934.56632,1938.0755200000003,SL,-1.0,-9.47,936.1
2023-08-02 23:45:00,2023-08-03 00:20:00,sell,1930.97,1933.4885199999999,1927.1922200000004,SL,-1.0,-9.37,926.73
2023-08-03 14:10:00,2023-08-03 14:15:00,sell,1930.77,1932.50388,1928.1691799999999,SL,-1.0,-9.28,917.45
2023-08-03 21:30:00,2023-08-03 22:00:00,sell,1929.69,1931.4405000000002,1927.06425,SL,-1.0,-9.18,908.27
2023-08-03 23:00:00,2023-08-03 23:05:00,sell,1929.91,1931.57112,1927.4183200000002,SL,-1.0,-9.09,899.18
2023-08-04 00:40:00,2023-08-04 07:10:00,buy,1932.22,1929.4804199999999,1936.3293700000004,SL,-1.0,-9.0,890.18
2023-08-04 08:00:00,2023-08-04 12:00:00,sell,1928.75,1931.3292999999999,1924.8810500000002,SL,-1.0,-8.91,881.27
2023-08-04 17:35:00,2023-08-04 18:45:00,buy,1937.87,1935.19804,1941.8779399999999,SL,-1.0,-8.82,872.45
2023-08-04 23:30:00,2023-08-04 23:35:00,buy,1940.13,1938.99346,1941.8348100000003,TP,1.5,13.08,885.53
2023-08-05 01:25:00,2023-08-05 01:30:00,buy,1943.35,1941.6665,1945.8752499999996,SL,-1.0,-8.86,876.67
2023-08-05 02:35:00,2023-08-05 02:40:00,buy,1943.53,1941.842,1946.062,SL,-1.0,-8.78,867.89
2023-08-05 06:40:00,2023-08-05 07:00:00,buy,1943.35,1941.342,1946.3619999999996,SL,-1.0,-8.69,859.2
2023-08-05 10:20:00,2023-08-05 12:35:00,buy,1943.17,1938.82094,1949.69359,SL,-1.0,-8.6,850.6
2023-08-05 20:55:00,2023-08-05 21:25:00,buy,1942.71,1940.7778,1945.6082999999999,SL,-1.0,-8.51,842.09
2023-08-06 12:05:00,2023-08-06 13:05:00,sell,1938.4,1940.10512,1935.8423200000002,SL,-1.0,-8.43,833.66
2023-08-06 20:40:00,2023-08-06 22:40:00,buy,1946.75,1943.41042,1951.7593700000002,SL,-1.0,-8.34,825.32
2023-08-07 09:35:00,2023-08-07 11:45:00,sell,1939.48,1941.6972,1936.1542,TP,1.5,12.37,837.69
2023-08-08 16:25:00,2023-08-08 16:35:00,sell,1934.94,1936.21164,1933.0325400000002,SL,-1.0,-8.39,829.3
2023-08-08 18:20:00,2023-08-08 18:30:00,buy,1939.01,1936.1286,1943.3321,SL,-1.0,-8.3,821.0
2023-08-08 21:40:00,2023-08-08 21:50:00,buy,1936.15,1933.27342,1940.4648700000002,SL,-1.0,-8.22,812.78
2023-08-09 01:50:00,2023-08-09 02:40:00,sell,1927.05,1930.3849,1922.04765,SL,-1.0,-8.14,804.64
2023-08-09 12:15:00,2023-08-09 12:40:00,sell,1930.19,1931.3233,1928.49005,TP,1.5,12.06,816.7
2023-08-10 04:50:00,2023-08-10 06:10:00,sell,1919.4,1921.19942,1916.7008700000004,SL,-1.0,-8.18,808.52
2023-08-10 06:30:00,2023-08-10 07:10:00,sell,1919.77,1921.77472,1916.7629200000001,SL,-1.0,-8.09,800.43
