opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-06 20:40:00,2023-08-06 22:40:00,buy,1946.75,1943.41042,1951.7593700000002,SL,-1.0,-10.01,989.99
2023-08-08 16:25:00,2023-08-08 16:35:00,sell,1934.94,1936.21164,1933.0325400000002,SL,-1.0,-9.91,980.08
2023-08-08 18:20:00,2023-08-08 18:30:00,buy,1939.01,1936.1286,1943.3321,SL,-1.0,-9.81,970.27
2023-08-08 21:40:00,2023-08-08 21:50:00,buy,1936.15,1933.27342,1940.4648700000002,SL,-1.0,-9.71,960.56
2023-08-09 01:50:00,2023-08-09 02:40:00,sell,1927.05,1930.3849,1922.04765,SL,-1.0,-9.62,950.94
2023-08-09 12:40:00,2023-08-09 14:50:00,sell,1929.28,1930.71598,1927.12603,TP,1.5,14.25,965.19
2023-08-10 13:05:00,2023-08-10 14:15:00,buy,1924.18,1921.9266,1927.5601000000001,SL,-1.0,-9.66,955.53
2023-08-10 19:40:00,2023-08-10 19:50:00,sell,1921.05,1922.1397,1919.41545,TP,1.5,14.32,969.85
2023-08-11 07:00:00,2023-08-11 07:10:00,sell,1918.28,1921.70814,1913.13779,SL,-1.0,-9.71,960.14
2023-08-11 09:05:00,2023-08-11 12:50:00,sell,1918.36,1921.32834,1913.9074899999996,TP,1.5,14.39,974.53
2023-08-11 21:50:00,2023-08-11 22:15:00,sell,1907.56,1909.0846808359731,1905.2729787460403,TP,1.5,14.61,989.14
2023-08-12 09:25:00,2023-08-12 09:35:00,sell,1906.62,1907.9211,1904.6683499999997,TP,1.5,14.83,1003.97
2023-08-12 16:30:00,2023-08-12 16:55:00,buy,1908.65,1906.41774,1911.9983900000002,SL,-1.0,-10.05,993.92
2023-08-12 23:20:00,2023-08-13 18:50:00,sell,1900.95,1904.27008,1895.96988,SL,-1.0,-9.95,983.97
2023-08-13 20:40:00,2023-08-13 22:20:00,buy,1905.49,1902.86682,1909.42477,SL,-1.0,-9.85,974.12
2023-08-13 23:00:00,2023-08-13 23:30:00,buy,1904.07,1902.70372,1906.11942,TP,1.5,14.6,988.72
2023-08-14 05:40:00,2023-08-14 06:10:00,buy,1911.34,1908.5616400000001,1915.5075399999996,SL,-1.0,-9.9,978.82
2023-08-14 15:35:00,2023-08-14 17:40:00,sell,1903.98,1907.5686,1898.5971,SL,-1.0,-9.8,969.02
2023-08-14 22:10:00,2023-08-15 02:55:00,sell,1900.02,1902.61312,1896.13032,TP,1.5,14.53,983.55
2023-08-15 16:35:00,2023-08-15 16:40:00,buy,1906.28,1905.2104017741074,1907.8843973388389,SL,-1.0,-9.85,973.7
2023-08-15 18:35:00,2023-08-15 18:50:00,buy,1903.83,1902.8163,1905.3505499999999,SL,-1.0,-9.75,963.95
2023-08-16 04:40:00,2023-08-16 05:05:00,buy,1899.89,1898.6306,1901.7791000000002,SL,-1.0,-9.65,954.3
2023-08-16 05:35:00,2023-08-16 06:00:00,sell,1895.0,1899.6858,1887.9713000000002,SL,-1.0,-9.55,944.75
2023-08-16 08:40:00,2023-08-16 12:00:00,buy,1903.69,1899.3929799999999,1910.1355300000005,SL,-1.0,-9.46,935.29
2023-08-16 13:55:00,2023-08-16 20:15:00,sell,1897.01,1900.332,1892.0269999999998,TP,1.5,14.02,949.31
2023-08-16 22:45:00,2023-08-16 23:05:00,sell,1892.3,1894.2567800000002,1889.3648299999995,TP,1.5,14.23,963.54
2023-08-16 23:35:00,2023-08-17 05:35:00,sell,1888.91,1892.89892,1882.9266200000002,SL,-1.0,-9.65,953.89
2023-08-17 23:45:00,2023-08-18 00:40:00,sell,1869.85,1877.4919,1858.3871499999998,SL,-1.0,-9.55,944.34
