opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-07-28 13:00:00,2023-07-28 13:20:00,buy,1943.84,1942.2268199999999,1947.06636,SL,-1.0,-10.01,989.99
2023-07-29 12:15:00,2023-07-29 14:00:00,buy,1948.99,1947.2094,1952.5512,SL,-1.0,-9.91,980.08
2023-07-29 15:20:00,2023-07-30 00:15:00,sell,1944.24,1947.26908,1938.18184,SL,-1.0,-9.81,970.27
2023-07-30 09:10:00,2023-07-30 09:20:00,sell,1945.32,1946.7366,1942.4868,SL,-1.0,-9.71,960.56
2023-07-31 06:15:00,2023-07-31 11:00:00,sell,1941.4,1944.55864,1935.0827200000003,SL,-1.0,-9.62,950.94
2023-08-01 00:30:00,2023-08-01 02:10:00,sell,1949.24,1951.9302599999999,1943.8594800000003,TP,2.0,19.01,969.95
2023-08-01 02:45:00,2023-08-01 12:00:00,sell,1946.23,1949.4940199999999,1939.7019600000003,TP,2.0,19.39,989.34
2023-08-01 12:25:00,2023-08-01 22:20:00,sell,1938.6,1941.7399,1932.3201999999997,SL,-1.0,-9.9,979.44
2023-08-02 05:15:00,2023-08-02 05:45:00,sell,1936.31,1937.60562,1933.7187599999997,SL,-1.0,-9.8,969.64
2023-08-02 07:00:00,2023-08-02 07:35:00,buy,1938.14,1936.8360599999999,1940.7478800000006,SL,-1.0,-9.71,959.93
2023-08-02 12:10:00,2023-08-02 13:30:00,buy,1939.69,1938.0534,1942.9632000000001,SL,-1.0,-9.61,950.32
2023-08-02 18:10:00,2023-08-02 18:30:00,sell,1931.82,1934.34376,1926.7724799999999,SL,-1.0,-9.51,940.81
2023-08-02 20:40:00,2023-08-02 20:55:00,buy,1935.97,1934.56632,1938.7773600000003,SL,-1.0,-9.42,931.39
2023-08-02 23:45:00,2023-08-03 00:20:00,sell,1930.97,1933.4885199999999,1925.9329600000003,SL,-1.0,-9.32,922.07
2023-08-03 14:10:00,2023-08-03 14:15:00,sell,1930.77,1932.50388,1927.30224,SL,-1.0,-9.23,912.84
2023-08-03 21:30:00,2023-08-03 22:00:00,sell,1929.69,1931.4405000000002,1926.1889999999999,SL,-1.0,-9.14,903.7
2023-08-03 23:00:00,2023-08-03 23:05:00,sell,1929.91,1931.57112,1926.5877600000001,SL,-1.0,-9.05,894.65
2023-08-04 00:40:00,2023-08-04 07:10:00,buy,1932.22,1929.4804199999999,1937.6991600000003,SL,-1.0,-8.96,885.69
2023-08-04 08:00:00,2023-08-04 12:00:00,sell,1928.75,1931.3292999999999,1923.5914000000002,SL,-1.0,-8.87,876.82
2023-08-04 17:35:00,2023-08-04 18:45:00,buy,1937.87,1935.19804,1943.2139199999997,SL,-1.0,-8.78,868.04
2023-08-04 23:30:00,2023-08-04 23:35:00,buy,1940.13,1938.99346,1942.4030800000005,TP,2.0,17.35,885.39
2023-08-05 01:25:00,2023-08-05 01:30:00,buy,1943.35,1941.6665,1946.7169999999996,SL,-1.0,-8.86,876.53
2023-08-05 02:35:00,2023-08-05 02:40:00,buy,1943.53,1941.842,1946.9059999999997,SL,-1.0,-8.77,867.76
2023-08-05 06:40:00,2023-08-05 07:00:00,buy,1943.35,1941.342,1947.3659999999995,SL,-1.0,-8.69,859.07
2023-08-05 10:20:00,2023-08-05 12:35:00,buy,1943.17,1938.82094,1951.86812,SL,-1.0,-8.6,850.47
2023-08-05 20:55:00,2023-08-05 21:25:00,buy,1942.71,1940.7778,1946.5744,SL,-1.0,-8.51,841.96
2023-08-06 12:05:00,2023-08-06 13:05:00,sell,1938.4,1940.10512,1934.9897600000004,SL,-1.0,-8.43,833.53
2023-08-06 20:40:00,2023-08-06 22:40:00,buy,1946.75,1943.41042,1953.4291600000001,SL,-1.0,-8.34,825.19
2023-08-07 09:35:00,2023-08-07 15:25:00,sell,1939.48,1941.6972,1935.0456,TP,2.0,16.5,841.69
2023-08-08 16:25:00,2023-08-08 16:35:00,sell,1934.94,1936.21164,1932.3967200000002,SL,-1.0,-8.43,833.26
2023-08-08 18:20:00,2023-08-08 18:30:00,buy,1939.01,1936.1286,1944.7728,SL,-1.0,-8.34,824.92
2023-08-08 21:40:00,2023-08-08 21:50:00,buy,1936.15,1933.27342,1941.9031600000003,SL,-1.0,-8.26,816.66
2023-08-09 01:50:00,2023-08-09 02:40:00,sell,1927.05,1930.3849,1920.3801999999998,SL,-1.0,-8.17,808.49
2023-08-09 12:15:00,2023-08-09 13:30:00,sell,1930.19,1931.3233,1927.9234000000001,TP,2.0,16.16,824.65
2023-08-10 04:50:00,2023-08-10 06:10:00,sell,1919.4,1921.19942,1915.8011600000004,SL,-1.0,-8.25,816.4
