opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-07-28 13:00:00,2023-07-28 13:20:00,buy,1943.84,1942.2268199999999,1946.2597700000001,SL,-1.0,-10.01,989.99
2023-07-29 12:15:00,2023-07-29 14:00:00,buy,1948.99,1947.2094,1951.6609,SL,-1.0,-9.91,980.08
2023-07-29 15:20:00,2023-07-30 00:15:00,sell,1944.24,1947.26908,1939.6963799999999,SL,-1.0,-9.81,970.27
2023-07-30 09:10:00,2023-07-30 09:20:00,sell,1945.32,1946.7366,1943.1951,SL,-1.0,-9.71,960.56
2023-08-01 11:35:00,2023-08-01 12:00:00,sell,1941.24,1943.11718,1938.42423,TP,1.5,14.4,974.96
2023-08-01 12:25:00,2023-08-01 22:20:00,sell,1938.6,1941.7399,1933.8901499999997,SL,-1.0,-9.76,965.2
2023-08-02 07:00:00,2023-08-02 07:35:00,buy,1938.14,1936.8360599999999,1940.0959100000005,SL,-1.0,-9.66,955.54
2023-08-02 12:10:00,2023-08-02 13:30:00,buy,1939.69,1938.0534,1942.1449000000002,SL,-1.0,-9.56,945.98
2023-08-02 18:10:00,2023-08-02 18:30:00,sell,1931.82,1934.34376,1928.0343599999999,SL,-1.0,-9.47,936.51
2023-08-03 14:10:00,2023-08-03 14:15:00,sell,1930.77,1932.50388,1928.1691799999999,SL,-1.0,-9.37,927.14
2023-08-04 08:00:00,2023-08-04 12:00:00,sell,1928.75,1931.3292999999999,1924.8810500000002,SL,-1.0,-9.28,917.86
2023-08-04 17:35:00,2023-08-04 18:45:00,buy,1937.87,1935.19804,1941.8779399999999,SL,-1.0,-9.19,908.67
2023-08-05 10:20:00,2023-08-05 12:35:00,buy,1943.17,1938.82094,1949.69359,SL,-1.0,-9.1,899.57
2023-08-06 12:05:00,2023-08-06 13:05:00,sell,1938.4,1940.10512,1935.8423200000002,SL,-1.0,-9.0,890.57
2023-08-07 09:35:00,2023-08-07 11:45:00,sell,1939.48,1941.6972,1936.1542,TP,1.5,13.35,903.92
2023-08-08 16:25:00,2023-08-08 16:35:00,sell,1934.94,1936.21164,1933.0325400000002,SL,-1.0,-9.05,894.87
2023-08-08 18:20:00,2023-08-08 18:30:00,buy,1939.01,1936.1286,1943.3321,SL,-1.0,-8.96,885.91
2023-08-09 12:15:00,2023-08-09 12:40:00,sell,1930.19,1931.3233,1928.49005,TP,1.5,13.28,899.19
2023-08-10 13:05:00,2023-08-10 14:15:00,buy,1924.18,1921.9266,1927.5601000000001,SL,-1.0,-9.0,890.19
2023-08-10 16:10:00,2023-08-10 17:20:00,sell,1921.6,1922.7075,1919.9387499999998,SL,-1.0,-8.91,881.28
2023-08-10 18:45:00,2023-08-11 12:50:00,sell,1919.93,1922.7961,1915.63085,TP,1.5,13.21,894.49
2023-08-12 09:25:00,2023-08-12 09:35:00,sell,1906.62,1907.9211,1904.6683499999997,TP,1.5,13.41,907.9
2023-08-12 13:00:00,2023-08-12 13:35:00,sell,1902.38,1903.76298,1900.3055300000003,SL,-1.0,-9.09,898.81
2023-08-12 16:30:00,2023-08-12 16:55:00,buy,1908.65,1906.41774,1911.9983900000002,SL,-1.0,-9.0,889.81
2023-08-13 07:35:00,2023-08-13 08:20:00,sell,1901.0,1902.09864,1899.3520400000002,TP,1.5,13.34,903.15
2023-08-14 15:35:00,2023-08-14 17:40:00,sell,1903.98,1907.5686,1898.5971,SL,-1.0,-9.04,894.11
2023-08-15 16:35:00,2023-08-15 16:40:00,buy,1906.28,1905.2104017741074,1907.8843973388389,SL,-1.0,-8.95,885.16
2023-08-15 18:35:00,2023-08-15 18:50:00,buy,1903.83,1902.8163,1905.3505499999999,SL,-1.0,-8.86,876.3
2023-08-16 08:40:00,2023-08-16 12:00:00,buy,1903.69,1899.3929799999999,1910.1355300000005,SL,-1.0,-8.77,867.53
2023-08-16 13:55:00,2023-08-16 20:15:00,sell,1897.01,1900.332,1892.0269999999998,TP,1.5,13.0,880.53
2023-08-18 09:05:00,2023-08-18 09:50:00,buy,1890.74,1888.40102,1894.24847,SL,-1.0,-8.81,871.72
2023-08-18 16:05:00,2023-08-18 19:15:00,sell,1883.32,1886.9102,1877.9346999999998,TP,1.5,13.07,884.79
2023-08-19 15:25:00,2023-08-19 15:50:00,sell,1873.66,1875.3381,1871.1428500000002,SL,-1.0,-8.86,875.93
2023-08-19 16:50:00,2023-08-20 01:30:00,sell,1873.48,1876.16334,1869.45499,TP,1.5,13.13,889.06
2023-08-20 15:30:00,2023-08-20 15:40:00,sell,1870.14,1871.7679999999998,1867.6980000000005,SL,-1.0,-8.9,880.16
2023-08-21 18:45:00,2023-08-21 19:00:00,buy,1876.06,1874.33896,1878.6415599999998,TP,1.5,13.19,893.35
2023-08-22 07:20:00,2023-08-22 10:15:00,buy,1887.43,1885.33556,1890.57166,TP,1.5,13.39,906.74
2023-08-23 11:25:00,2023-08-23 13:45:00,buy,1896.74,1894.76398,1899.70403,TP,1.5,13.59,920.33
