opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-09 12:40:00,2023-08-09 14:50:00,sell,1929.28,1930.71598,1927.12603,TP,1.5,14.99,1014.99
2023-08-10 06:30:00,2023-08-10 07:10:00,sell,1919.77,1921.77472,1916.7629200000001,SL,-1.0,-10.16,1004.83
2023-08-10 10:35:00,2023-08-10 11:05:00,sell,1921.26,1923.09188,1918.5121800000002,SL,-1.0,-10.06,994.77
2023-08-10 14:05:00,2023-08-10 19:00:00,sell,1923.99,1927.53498,1918.6725300000003,TP,1.5,14.91,1009.68
2023-08-11 07:00:00,2023-08-11 07:10:00,sell,1918.28,1921.70814,1913.13779,SL,-1.0,-10.11,999.57
2023-08-11 08:45:00,2023-08-11 12:50:00,sell,1918.44,1921.3066800000001,1914.13998,TP,1.5,14.98,1014.55
2023-08-11 20:40:00,2023-08-12 04:55:00,sell,1907.86,1911.220836003536,1902.8187459946957,TP,1.5,15.21,1029.76
2023-08-12 15:15:00,2023-08-12 15:40:00,sell,1906.2,1907.91724,1903.6241400000001,SL,-1.0,-10.31,1019.45
2023-08-13 20:15:00,2023-08-13 22:00:00,sell,1904.09,1906.01856,1901.1971599999997,SL,-1.0,-10.2,1009.25
2023-08-13 22:50:00,2023-08-13 23:30:00,sell,1904.1,1905.74084,1901.6387399999999,SL,-1.0,-10.1,999.15
2023-08-14 15:35:00,2023-08-14 17:40:00,sell,1903.98,1907.5686,1898.5971,SL,-1.0,-10.0,989.15
2023-08-15 14:20:00,2023-08-15 14:30:00,sell,1903.47,1905.11508,1901.00238,SL,-1.0,-9.9,979.25
2023-08-16 04:35:00,2023-08-16 06:40:00,sell,1898.36,1901.3567,1893.8649499999997,SL,-1.0,-9.8,969.45
2023-08-16 13:55:00,2023-08-16 20:15:00,sell,1897.01,1900.332,1892.0269999999998,TP,1.5,14.53,983.98
2023-08-16 22:45:00,2023-08-16 23:05:00,sell,1892.3,1894.2567800000002,1889.3648299999995,TP,1.5,14.75,998.73
2023-08-16 23:35:00,2023-08-17 05:35:00,sell,1888.91,1892.89892,1882.9266200000002,SL,-1.0,-10.0,988.73
2023-08-17 23:15:00,2023-08-17 23:25:00,sell,1874.08,1880.2511091120468,1864.8233363319296,SL,-1.0,-9.9,978.83
2023-08-18 13:00:00,2023-08-18 15:35:00,sell,1887.31,1889.98572,1883.2964200000001,TP,1.5,14.67,993.5
2023-08-19 16:50:00,2023-08-20 01:30:00,sell,1873.48,1876.16334,1869.45499,TP,1.5,14.89,1008.39
2023-08-20 15:30:00,2023-08-20 15:40:00,sell,1870.14,1871.7679999999998,1867.6980000000005,SL,-1.0,-10.09,998.3
2023-08-21 14:30:00,2023-08-22 02:35:00,sell,1877.4,1881.63808,1871.0428800000004,SL,-1.0,-9.99,988.31
2023-08-23 20:25:00,2023-08-23 20:30:00,buy,1909.78,1907.85342,1912.6698700000002,SL,-1.0,-9.89,978.42
2023-08-24 13:45:00,2023-08-24 14:35:00,buy,1903.3,1901.54758,1905.9286299999999,TP,1.5,14.67,993.09
2023-08-24 22:35:00,2023-08-24 22:45:00,buy,1904.59,1903.40336,1906.3699599999998,SL,-1.0,-9.94,983.15
2023-08-25 13:10:00,2023-08-25 13:30:00,buy,1904.63,1903.5385,1906.26725,SL,-1.0,-9.84,973.31
2023-08-26 18:40:00,2023-08-26 19:05:00,buy,1898.92,1897.0116400000002,1901.78254,SL,-1.0,-9.74,963.57
2023-08-27 11:25:00,2023-08-27 14:00:00,buy,1904.73,1900.98204,1910.35194,SL,-1.0,-9.65,953.92
2023-08-28 08:40:00,2023-08-28 08:55:00,buy,1899.44,1896.9103,1903.2345500000001,SL,-1.0,-9.55,944.37
2023-08-28 09:45:00,2023-08-28 10:40:00,sell,1897.0,1899.04162,1893.93757,SL,-1.0,-9.45,934.92
2023-08-29 02:35:00,2023-08-29 06:45:00,buy,1902.11,1898.91268,1906.90598,SL,-1.0,-9.36,925.56
2023-08-29 11:40:00,2023-08-29 12:25:00,buy,1904.03,1901.78834,1907.3924899999997,SL,-1.0,-9.26,916.3
