opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-01 13:10:00,2023-08-01 22:20:00,sell,1936.25,1941.7399,1928.01515,SL,-1.0,-10.01,989.99
2023-08-02 07:00:00,2023-08-02 07:35:00,buy,1938.14,1936.8360599999999,1940.0959100000005,SL,-1.0,-9.91,980.08
2023-08-04 17:40:00,2023-08-04 18:45:00,buy,1938.69,1935.19804,1943.92794,SL,-1.0,-9.81,970.27
2023-08-04 23:40:00,2023-08-05 07:05:00,buy,1941.9,1938.99346,1946.2598100000005,SL,-1.0,-9.71,960.56
2023-08-05 10:30:00,2023-08-05 12:35:00,buy,1942.56,1938.82094,1948.1685899999998,SL,-1.0,-9.62,950.94
2023-08-06 12:25:00,2023-08-06 13:05:00,sell,1937.76,1940.10512,1934.24232,SL,-1.0,-9.52,941.42
2023-08-06 20:40:00,2023-08-06 22:40:00,buy,1946.75,1943.41042,1951.7593700000002,SL,-1.0,-9.42,932.0
2023-08-07 10:00:00,2023-08-07 16:40:00,sell,1937.09,1941.6972,1930.1791999999996,TP,1.5,13.97,945.97
2023-08-09 12:40:00,2023-08-09 14:50:00,sell,1929.28,1930.71598,1927.12603,TP,1.5,14.18,960.15
2023-08-11 07:00:00,2023-08-11 07:10:00,sell,1918.28,1921.70814,1913.13779,SL,-1.0,-9.61,950.54
2023-08-11 09:05:00,2023-08-11 12:50:00,sell,1918.36,1921.32834,1913.9074899999996,TP,1.5,14.25,964.79
2023-08-11 20:40:00,2023-08-12 04:55:00,sell,1907.86,1911.220836003536,1902.8187459946957,TP,1.5,14.46,979.25
2023-08-13 20:40:00,2023-08-13 22:20:00,buy,1905.49,1902.86682,1909.42477,SL,-1.0,-9.8,969.45
2023-08-13 23:00:00,2023-08-13 23:30:00,buy,1904.07,1902.70372,1906.11942,TP,1.5,14.53,983.98
2023-08-14 05:40:00,2023-08-14 06:10:00,buy,1911.34,1908.5616400000001,1915.5075399999996,SL,-1.0,-9.85,974.13
2023-08-14 15:35:00,2023-08-14 17:40:00,sell,1903.98,1907.5686,1898.5971,SL,-1.0,-9.75,964.38
2023-08-15 18:35:00,2023-08-15 18:50:00,buy,1903.83,1902.8163,1905.3505499999999,SL,-1.0,-9.65,954.73
2023-08-16 04:40:00,2023-08-16 05:05:00,buy,1899.89,1898.6306,1901.7791000000002,SL,-1.0,-9.56,945.17
2023-08-16 08:40:00,2023-08-16 12:00:00,buy,1903.69,1899.3929799999999,1910.1355300000005,SL,-1.0,-9.46,935.71
2023-08-16 14:00:00,2023-08-16 20:15:00,sell,1897.0,1900.332,1892.002,TP,1.5,14.03,949.74
2023-08-16 23:00:00,2023-08-17 05:35:00,sell,1890.24,1894.2567800000002,1884.21483,SL,-1.0,-9.51,940.23
2023-08-17 23:15:00,2023-08-17 23:25:00,sell,1874.08,1880.2511091120468,1864.8233363319296,SL,-1.0,-9.41,930.82
2023-08-18 06:15:00,2023-08-18 06:20:00,buy,1884.48,1882.6559303372796,1887.2161044940806,SL,-1.0,-9.32,921.5
2023-08-18 06:35:00,2023-08-18 06:40:00,buy,1884.81,1882.2121068399376,1888.7068397400935,TP,1.5,13.81,935.31
2023-08-18 09:05:00,2023-08-18 09:50:00,buy,1890.74,1888.40102,1894.24847,SL,-1.0,-9.36,925.95
2023-08-19 16:50:00,2023-08-20 01:30:00,sell,1873.48,1876.16334,1869.45499,TP,1.5,13.88,939.83
2023-08-20 15:30:00,2023-08-20 15:40:00,sell,1870.14,1871.7679999999998,1867.6980000000005,SL,-1.0,-9.41,930.42
2023-08-21 06:30:00,2023-08-21 10:45:00,buy,1873.87,1871.81564,1876.9515399999996,TP,1.5,13.95,944.37
2023-08-22 04:10:00,2023-08-22 07:30:00,buy,1884.05,1881.69792,1887.5781199999997,TP,1.5,14.16,958.53
2023-08-25 14:15:00,2023-08-25 14:40:00,sell,1903.69,1907.52538,1897.93693,TP,1.5,14.37,972.9
2023-08-28 09:45:00,2023-08-28 10:40:00,sell,1897.0,1899.04162,1893.93757,SL,-1.0,-9.74,963.16
2023-08-29 11:40:00,2023-08-29 12:25:00,buy,1904.03,1901.78834,1907.3924899999997,SL,-1.0,-9.64,953.52
2023-08-29 23:40:00,2023-08-30 09:40:00,buy,1909.03,1904.82992,1915.33012,TP,1.5,14.29,967.81
2023-08-30 10:50:00,2023-08-30 13:10:00,buy,1912.5,1908.57792,1918.38312,TP,1.5,14.51,982.32
2023-08-30 15:05:00,2023-08-31 15:15:00,buy,1919.19,1911.87392,1930.1641200000001,SL,-1.0,-9.83,972.49
2023-08-31 15:45:00,2023-08-31 18:50:00,sell,1913.3,1921.55836,1900.91246,SL,-1.0,-9.73,962.76
2023-08-31 19:50:00,2023-08-31 20:30:00,sell,1919.17,1921.1268,1916.2348000000002,TP,1.5,14.43,977.19
2023-08-31 21:30:00,2023-08-31 21:55:00,sell,1915.29,1919.50684,1908.96474,SL,-1.0,-9.78,967.41
2023-09-07 14:45:00,2023-09-07 15:05:00,buy,1905.63,1904.34568,1907.5564800000004,SL,-1.0,-9.68,957.73
2023-09-08 08:30:00,2023-09-08 08:55:00,sell,1906.7,1908.44886,1904.0767100000003,SL,-1.0,-9.59,948.14
2023-09-10 12:05:00,2023-09-10 20:20:00,sell,1893.7,1897.92528,1887.3620800000003,SL,-1.0,-9.49,938.65
2023-09-10 22:40:00,2023-09-11 00:30:00,buy,1899.67,1896.8305599999999,1903.9291600000004,SL,-1.0,-9.4,929.25
2023-09-11 02:00:00,2023-09-11 06:50:00,buy,1900.3,1898.0097799999999,1903.73533,TP,1.5,13.93,943.18
2023-09-11 14:20:00,2023-09-11 14:45:00,buy,1899.3,1897.13336,1902.5499599999998,SL,-1.0,-9.44,933.74
2023-09-12 23:40:00,2023-09-13 10:05:00,sell,1889.82,1892.79452,1885.35822,SL,-1.0,-9.35,924.39
2023-09-13 17:40:00,2023-09-13 18:20:00,sell,1888.57,1890.8368600000001,1885.1697099999997,TP,1.5,13.86,938.25
2023-09-14 01:30:00,2023-09-14 04:55:00,buy,1890.15,1886.82138,1895.14293,TP,1.5,14.06,952.31
2023-09-14 18:05:00,2023-09-14 18:10:00,buy,1890.46,1888.8825000000002,1892.8262499999998,SL,-1.0,-9.53,942.78
2023-09-15 23:10:00,2023-09-15 23:55:00,buy,1908.96,1906.45486,1912.71771,SL,-1.0,-9.44,933.34
2023-09-17 21:30:00,2023-09-17 23:30:00,buy,1905.93,1904.61024,1907.9096400000003,TP,1.5,13.99,947.33
2023-09-18 00:35:00,2023-09-18 03:40:00,buy,1910.14,1907.1310999999998,1914.6533500000005,TP,1.5,14.2,961.53
