opened,closed,side,entry,sl,tp,result,r,pnl,capital
2023-08-09 12:40:00,2023-08-09 14:50:00,sell,1929.28,1930.71598,1927.12603,TP,1.5,14.99,1014.99
2023-08-10 10:35:00,2023-08-10 11:05:00,sell,1921.26,1923.09188,1918.5121800000002,SL,-1.0,-10.16,1004.83
2023-08-10 14:05:00,2023-08-10 19:00:00,sell,1923.99,1927.53498,1918.6725300000003,TP,1.5,15.06,1019.89
2023-08-11 07:00:00,2023-08-11 07:10:00,sell,1918.28,1921.70814,1913.13779,SL,-1.0,-10.21,1009.68
2023-08-11 08:45:00,2023-08-11 12:50:00,sell,1918.44,1921.3066800000001,1914.13998,TP,1.5,15.14,1024.82
2023-08-11 20:40:00,2023-08-12 04:55:00,sell,1907.86,1911.220836003536,1902.8187459946957,TP,1.5,15.36,1040.18
2023-08-14 15:35:00,2023-08-14 17:40:00,sell,1903.98,1907.5686,1898.5971,SL,-1.0,-10.41,1029.77
2023-08-15 14:20:00,2023-08-15 14:30:00,sell,1903.47,1905.11508,1901.00238,SL,-1.0,-10.31,1019.46
2023-08-16 04:35:00,2023-08-16 06:40:00,sell,1898.36,1901.3567,1893.8649499999997,SL,-1.0,-10.2,1009.26
2023-08-16 14:00:00,2023-08-16 20:15:00,sell,1897.0,1900.332,1892.002,TP,1.5,15.13,1024.39
2023-08-16 23:00:00,2023-08-17 05:35:00,sell,1890.24,1894.2567800000002,1884.21483,SL,-1.0,-10.25,1014.14
2023-08-17 23:15:00,2023-08-17 23:25:00,sell,1874.08,1880.2511091120468,1864.8233363319296,SL,-1.0,-10.15,1003.99
2023-08-18 13:00:00,2023-08-18 15:35:00,sell,1887.31,1889.98572,1883.2964200000001,TP,1.5,15.05,1019.04
2023-08-19 16:50:00,2023-08-20 01:30:00,sell,1873.48,1876.16334,1869.45499,TP,1.5,15.28,1034.32
2023-08-20 15:30:00,2023-08-20 15:40:00,sell,1870.14,1871.7679999999998,1867.6980000000005,SL,-1.0,-10.35,1023.97
2023-08-21 14:30:00,2023-08-22 02:35:00,sell,1877.4,1881.63808,1871.0428800000004,SL,-1.0,-10.25,1013.72
2023-08-24 13:45:00,2023-08-24 14:35:00,buy,1903.3,1901.54758,1905.9286299999999,TP,1.5,15.2,1028.92
2023-08-24 22:35:00,2023-08-24 22:45:00,buy,1904.59,1903.40336,1906.3699599999998,SL,-1.0,-10.3,1018.62
2023-08-26 18:40:00,2023-08-26 19:05:00,buy,1898.92,1897.0116400000002,1901.78254,SL,-1.0,-10.2,1008.42
2023-08-28 09:45:00,2023-08-28 10:40:00,sell,1897.0,1899.04162,1893.93757,SL,-1.0,-10.09,998.33
2023-08-29 11:40:00,2023-08-29 12:25:00,buy,1904.03,1901.78834,1907.3924899999997,SL,-1.0,-9.99,988.34
2023-08-29 23:40:00,2023-08-30 09:40:00,buy,1909.03,1904.82992,1915.33012,TP,1.5,14.82,1003.16
2023-08-30 10:50:00,2023-08-30 13:10:00,buy,1912.5,1908.57792,1918.38312,TP,1.5,15.04,1018.2
2023-08-30 15:05:00,2023-08-31 15:15:00,buy,1919.19,1911.87392,1930.1641200000001,SL,-1.0,-10.19,1008.01
2023-08-31 16:50:00,2023-08-31 17:00:00,buy,1914.46,1912.7116317472003,1917.0825523791996,SL,-1.0,-10.09,997.92
2023-08-31 20:35:00,2023-08-31 21:05:00,buy,1916.49,1914.1633399999998,1919.9799900000003,SL,-1.0,-9.99,987.93
2023-09-01 18:40:00,2023-09-01 18:50:00,buy,1919.44,1918.19476,1921.30786,SL,-1.0,-9.89,978.04
2023-09-08 08:30:00,2023-09-08 08:55:00,sell,1906.7,1908.44886,1904.0767100000003,SL,-1.0,-9.79,968.25
2023-09-10 12:05:00,2023-09-10 20:20:00,sell,1893.7,1897.92528,1887.3620800000003,SL,-1.0,-9.69,958.56
2023-09-12 23:40:00,2023-09-13 10:05:00,sell,1889.82,1892.79452,1885.35822,SL,-1.0,-9.6,948.96
2023-09-13 17:40:00,2023-09-13 18:20:00,sell,1888.57,1890.8368600000001,1885.1697099999997,TP,1.5,14.22,963.18
2023-09-14 13:25:00,2023-09-14 14:05:00,sell,1893.96,1898.27608,1887.48588,TP,1.5,14.44,977.62
2023-09-15 23:10:00,2023-09-15 23:55:00,buy,1908.96,1906.45486,1912.71771,SL,-1.0,-9.79,967.83
2023-09-17 21:30:00,2023-09-17 23:30:00,buy,1905.93,1904.61024,1907.9096400000003,TP,1.5,14.51,982.34
2023-09-18 00:35:00,2023-09-18 03:40:00,buy,1910.14,1907.1310999999998,1914.6533500000005,TP,1.5,14.73,997.07
