bot,annee,trades,winrate_pct,total_r,pnl_total,capital_fin_annee
ote-candle,2023,484,30.0,-121.5,-714.42,285.58
ote-candle,2024,1794,26.2,-619.0,-285.09,0.49
ote-candle,2025,1351,39.1,-31.0,0.03,0.52
ote-candle,2026,685,42.5,42.5,0.01,0.53
ote-floor,2023,491,29.9,-123.5,-720.22,279.78
ote-floor,2024,1787,26.9,-587.0,-278.45,1.33
ote-floor,2025,1366,38.7,-43.5,-0.81,0.52
ote-floor,2026,693,42.6,44.5,0.0,0.52
ote-rr2,2023,462,22.5,-150.0,-786.3,213.7
ote-rr2,2024,1577,20.7,-599.0,-213.14,0.56
ote-rr2,2025,1276,32.1,-49.0,-0.07,0.49
ote-rr2,2026,645,35.8,48.0,0.01,0.5
ote-session,2023,298,31.2,-65.5,-492.72,507.28
ote-session,2024,1174,26.1,-409.0,-499.43,7.85
ote-session,2025,819,38.3,-34.0,-2.61,5.24
ote-session,2026,413,43.3,34.5,1.72,6.96
ote-hivol,2023,353,31.7,-73.0,-531.47,468.53
ote-hivol,2024,1126,26.4,-383.5,-459.3,9.23
ote-hivol,2025,819,40.7,13.5,0.53,9.76
ote-hivol,2026,440,40.9,10.0,0.62,10.38
fvg-ifvg,2023,832,23.0,-354.5,-972.82,27.18
fvg-ifvg,2024,1285,21.2,-605.0,-26.67,0.51
fvg-ifvg,2025,1675,34.3,-240.0,-0.02,0.49
fvg-ifvg,2026,838,42.2,47.0,0.04,0.53
fibo-candle,2023,31,29.0,-8.5,-83.71,916.29
fibo-candle,2024,180,45.6,25.0,241.72,1158.01
fibo-candle,2025,131,47.3,24.0,296.99,1455.0
fibo-candle,2026,89,33.7,-14.0,-199.16,1255.84
fibo-floor,2023,42,40.5,0.5,1.43,1001.43
fibo-floor,2024,333,52.9,107.0,1829.52,2830.95
fibo-floor,2025,291,46.4,46.5,1561.1,4392.05
fibo-floor,2026,159,40.3,1.0,-15.34,4376.71
