actif,bot,annee,trades,winrate_pct,total_r,pnl_total,capital_fin_annee
paxg,fibo-candle,2023,31,29.0,-8.5,-83.71,916.29
paxg,fibo-candle,2024,180,45.6,25.0,241.72,1158.01
paxg,fibo-candle,2025,131,47.3,24.0,296.99,1455.0
paxg,fibo-candle,2026,89,33.7,-14.0,-199.16,1255.84
paxg,fibo-floor,2023,42,40.5,0.5,1.43,1001.43
paxg,fibo-floor,2024,333,52.9,107.0,1829.52,2830.95
paxg,fibo-floor,2025,291,46.4,46.5,1561.1,4392.05
paxg,fibo-floor,2026,159,40.3,1.0,-15.34,4376.71
btc,fibo-candle,2023,91,42.9,6.5,58.83,1058.83
btc,fibo-candle,2024,366,36.9,-28.5,-286.38,772.45
btc,fibo-candle,2025,316,41.1,9.0,50.28,822.73
btc,fibo-candle,2026,202,39.1,-4.5,-49.56,773.17
btc,fibo-floor,2023,181,42.0,9.0,77.29,1077.29
btc,fibo-floor,2024,573,39.1,-13.0,-175.87,901.42
btc,fibo-floor,2025,533,43.2,42.0,408.45,1309.87
btc,fibo-floor,2026,339,44.0,33.5,467.86,1777.73
eth,fibo-candle,2023,109,41.3,3.5,26.02,1026.02
eth,fibo-candle,2024,531,38.2,-23.5,-250.15,775.87
eth,fibo-candle,2025,610,39.2,-12.5,-125.41,650.46
eth,fibo-candle,2026,304,35.5,-34.0,-198.92,451.54
eth,fibo-floor,2023,230,38.7,-7.5,-90.04,909.96
eth,fibo-floor,2024,706,40.7,11.5,51.26,961.22
eth,fibo-floor,2025,715,41.0,17.5,115.96,1077.18
eth,fibo-floor,2026,394,39.8,-1.5,-50.84,1026.34
sol,fibo-candle,2023,244,45.1,31.0,334.55,1334.55
sol,fibo-candle,2024,566,37.6,-33.5,-423.86,910.69
sol,fibo-candle,2025,550,40.7,10.0,49.71,960.4
sol,fibo-candle,2026,245,37.6,-15.0,-150.42,809.98
sol,fibo-floor,2023,285,48.1,57.5,732.37,1732.37
sol,fibo-floor,2024,639,37.2,-44.0,-674.44,1057.93
sol,fibo-floor,2025,636,40.6,9.0,38.67,1096.6
sol,fibo-floor,2026,348,42.8,24.5,262.95,1359.55
