bot,annee,trades,winrate_pct,total_r,pnl_total,capital_fin_annee
ote-v1,2023,483,30.0,-120.5,-711.53,288.47
ote-v1,2024,1794,26.2,-619.0,-287.98,0.49
ote-v1,2025,1351,39.1,-31.0,0.03,0.52
ote-v1,2026,689,42.5,43.5,0.01,0.53
ote-v2,2023,227,34.4,-32.0,-287.06,712.94
ote-v2,2024,1320,26.8,-435.0,-704.54,8.4
ote-v2,2025,952,41.3,30.5,2.48,10.88
ote-v2,2026,486,43.8,46.5,5.7,16.58
ote-v2-noconf,2023,279,36.6,-24.0,-231.28,768.72
ote-v2-noconf,2024,1535,30.1,-380.0,-753.46,15.26
ote-v2-noconf,2025,1055,42.8,75.0,14.5,29.76
ote-v2-noconf,2026,547,42.6,35.5,10.79,40.55
ote-v2-nohtf,2023,251,33.5,-41.0,-349.75,650.25
ote-v2-nohtf,2024,1343,24.6,-518.0,-646.87,3.38
ote-v2-nohtf,2025,939,37.8,-51.5,-1.26,2.12
ote-v2-nohtf,2026,489,45.0,61.0,1.49,3.61
fvg-v1,2023,832,22.7,-359.5,-974.13,25.87
fvg-v1,2024,1285,21.2,-605.0,-25.36,0.51
fvg-v1,2025,1675,34.3,-240.0,-0.02,0.49
fvg-v1,2026,844,42.2,46.0,0.02,0.51
fvg-cont,2023,831,27.8,-253.5,-925.65,74.35
fvg-cont,2024,1533,24.0,-613.0,-73.85,0.5
fvg-cont,2025,1547,36.6,-132.0,-0.01,0.49
fvg-cont,2026,844,43.1,66.0,0.01,0.5
fvg-fill,2023,637,33.9,-97.0,-639.93,360.07
fvg-fill,2024,1304,27.8,-399.0,-353.92,6.15
fvg-fill,2025,1547,39.0,-39.5,-2.14,4.01
fvg-fill,2026,947,42.0,48.0,2.35,6.36
fibo-floor,2023,42,40.5,0.5,1.43,1001.43
fibo-floor,2024,333,52.9,107.0,1829.52,2830.95
fibo-floor,2025,291,46.4,46.5,1561.1,4392.05
fibo-floor,2026,159,40.3,1.0,-15.34,4376.71
