opened,closed,side,entry,sl,tp,result,r,pnl,capital
2026-07-17 09:20:00,2026-07-17 10:50:00,buy,3992.7,3987.507,4000.4894999999997,SL,-1.0,-10.01,989.99
2026-07-17 12:05:00,2026-07-17 12:40:00,sell,3983.34,3991.5890000000004,3970.9664999999995,TP,1.5,14.84,1004.83
2026-07-17 15:00:00,2026-07-17 18:45:00,buy,4002.1,3991.197,4018.4545,SL,-1.0,-10.06,994.77
2026-07-18 23:50:00,2026-07-19 22:20:00,buy,4006.91,4003.869,4011.4714999999997,SL,-1.0,-9.96,984.81
2026-07-19 23:00:00,2026-07-20 00:05:00,sell,3987.57,3990.992,3982.437,TP,1.5,14.76,999.57
2026-07-20 00:50:00,2026-07-20 00:55:00,sell,3992.62,3996.9320000000002,3986.151999999999,SL,-1.0,-10.01,989.56
2026-07-20 01:00:00,2026-07-20 11:30:00,buy,4005.95,3991.359,4027.8364999999994,TP,1.5,14.83,1004.39
2026-07-20 12:00:00,2026-07-20 13:55:00,sell,4007.56,4012.288,4000.468,TP,1.5,15.06,1019.45
2026-07-20 15:05:00,2026-07-20 22:45:00,buy,4006.53,3999.681,4016.8035000000004,SL,-1.0,-10.2,1009.25
2026-07-20 23:35:00,2026-07-21 00:00:00,sell,4001.18,4003.977,3996.9844999999996,SL,-1.0,-10.1,999.15
2026-07-21 00:15:00,2026-07-21 07:55:00,buy,4006.8,3995.228,4024.1580000000004,TP,1.5,14.98,1014.13
2026-07-21 09:55:00,2026-07-21 10:05:00,buy,4059.5,4055.544,4065.434,SL,-1.0,-10.15,1003.98
2026-07-21 10:10:00,2026-07-21 11:00:00,buy,4058.42,4054.4150000000004,4064.4275,SL,-1.0,-10.05,993.93
2026-07-21 11:35:00,2026-07-21 11:40:00,buy,4052.91,4049.076,4058.6609999999996,SL,-1.0,-9.95,983.98
2026-07-21 12:20:00,2026-07-21 12:25:00,buy,4057.25,4053.871,4062.3185,SL,-1.0,-9.85,974.13
2026-07-21 12:45:00,2026-07-21 15:50:00,buy,4052.47,4047.4,4060.0749999999994,TP,1.5,14.6,988.73
2026-07-21 17:40:00,2026-07-21 18:25:00,buy,4058.02,4048.8430000000003,4071.7854999999995,TP,1.5,14.82,1003.55
2026-07-21 19:15:00,2026-07-21 19:25:00,buy,4074.7,4069.964,4081.8039999999996,SL,-1.0,-10.05,993.5
2026-07-22 10:25:00,2026-07-22 11:00:00,buy,4110.28,4106.777,4115.5345,SL,-1.0,-9.94,983.56
2026-07-22 11:10:00,2026-07-22 11:40:00,buy,4110.65,4107.025,4116.0875,SL,-1.0,-9.85,973.71
2026-07-22 11:45:00,2026-07-22 12:25:00,buy,4110.13,4103.338,4120.318000000001,TP,1.5,14.6,988.31
2026-07-22 13:15:00,2026-07-22 13:55:00,buy,4119.0,4102.729,4143.406499999999,TP,1.5,14.81,1003.12
2026-07-22 20:10:00,2026-07-22 23:25:00,buy,4127.48,4123.924,4132.8139999999985,SL,-1.0,-10.04,993.08
2026-07-23 00:10:00,2026-07-23 01:00:00,sell,4119.81,4126.184,4110.249000000001,SL,-1.0,-9.94,983.14
2026-07-23 01:10:00,2026-07-23 01:35:00,buy,4128.68,4123.913,4135.830500000002,SL,-1.0,-9.84,973.3
2026-07-23 03:00:00,2026-07-23 09:05:00,buy,4120.45,4106.000999999999,4142.123500000001,SL,-1.0,-9.74,963.56
2026-07-23 09:55:00,2026-07-23 11:20:00,sell,4083.51,4087.464,4077.5790000000006,TP,1.5,14.44,978.0
2026-07-23 13:55:00,2026-07-24 13:55:00,sell,4039.81,4054.864,4017.229,SL,-1.0,-9.79,968.21
2026-07-24 18:25:00,2026-07-26 22:00:00,sell,4049.3,4071.848,4015.4780000000005,SL,-1.0,-9.69,958.52
2026-07-26 23:45:00,2026-07-27 00:00:00,buy,4084.06,4079.302,4091.1969999999997,TP,1.5,14.37,972.89
2026-07-27 01:45:00,2026-07-27 02:50:00,buy,4096.54,4086.16,4112.110000000001,SL,-1.0,-9.74,963.15
2026-07-27 04:00:00,2026-07-27 04:15:00,buy,4083.01,4080.4069999999997,4086.9145000000008,SL,-1.0,-9.64,953.51
2026-07-27 13:40:00,2026-07-27 13:55:00,sell,4078.64,4083.766,4070.9509999999996,TP,1.5,14.29,967.8
2026-07-27 15:30:00,2026-07-27 15:45:00,sell,4065.22,4069.095,4059.4075,SL,-1.0,-9.69,958.11
2026-07-27 16:00:00,2026-07-27 16:15:00,sell,4070.65,4073.143,4066.9105,SL,-1.0,-9.59,948.52
2026-07-27 16:25:00,2026-07-28 00:00:00,buy,4078.5,4060.967,4104.7995,SL,-1.0,-9.49,939.03
2026-07-28 12:00:00,2026-07-28 12:20:00,sell,4017.94,4022.988,4010.3680000000004,SL,-1.0,-9.4,929.63
2026-07-28 13:35:00,2026-07-28 16:15:00,sell,4016.2,4022.551,4006.6735,SL,-1.0,-9.31,920.32
2026-07-28 16:30:00,2026-07-28 16:55:00,buy,4037.29,4031.3109999999997,4046.2585000000004,SL,-1.0,-9.21,911.11
2026-07-28 17:35:00,2026-07-28 18:30:00,sell,4025.69,4029.473,4020.0155000000004,TP,1.5,13.66,924.77
2026-07-28 19:35:00,2026-07-29 01:00:00,sell,4018.5,4028.13,4004.055,TP,1.5,13.86,938.63
2026-07-29 01:50:00,2026-07-29 02:20:00,sell,4017.81,4022.6710000000003,4010.518499999999,SL,-1.0,-9.4,929.23
